no_acclimation,genus,species,phylum,class,order,family,life_stage,age_maturity_days_female,age_maturity_days_female_reference,age_maturity_days_male,age_maturity_days_male_reference,age_maturity-days_unknown_sex,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,average_body_size_female,average_body_size_female_reference,average_body_size_male,average_body_size_male_reference,average_body_size_unknown_sex,season_inactive,logic_source_for_season_inactive,migratory,source_logic_for_migration_info,season_when_away_10km+ (migratory only),season_when_away_100km+ (migratory only),logic_source_season_when_away,Home range size_Km2,logic-source_for_Home range size,data_gatherer,lifespan_days,lifespan_days_reference,Notes
,Osmerus,mordax,Chordata,Actinopterygii,Osmeriformes,Osmeridae,adults,365,mature as early as 1 year (Murawski+ S. A.+ & Cole+ C. F. (1978). Population dynamics of anadromous rainbow smelt Osmerus mordax+ in a Massachusetts river system. Transactions of the American Fisheries Society+ 107(4)+ 535-542.),365,mature as early as 1 year (Murawski+ S. A.+ & Cole+ C. F. (1978). Population dynamics of anadromous rainbow smelt Osmerus mordax+ in a Massachusetts river system. Transactions of the American Fisheries Society+ 107(4)+ 535-542.),,100+,"MOVEMENT: ""spawning-site fidelity and estuarine-restricted dispersal in anadromous ... consistent with the formation of localized discrete populations"" "" low probability of recovery and recolonization at distances >50 to 100 km"" and ""movements among spawning locations within a season in populations within a single estuary at scales of <16 km+ 6-7km"" but ""work in the St. Lawrence estuary suggests average displacement rates of 150 km+ with some as
far as 300 km"" (doi: 10.3354/meps07583) depends on population according to (https://pdfs.semanticscholar.org/0c35/6f95d8e30057008d97da61bdfb21e0bf11fc.pdf)
LARVAE: passive transport+ in coastal communities may disperse to other populations 
MIGRATION: migrates up to 1000km (fishbase)+",,,35.6,TL male/unsexed -fishbase,,,,,,none,no dormancy reported,migratory,IUCN Red List,3 months around April/May,3 months around April/May,"DISTANCE: migrate up to 1000km (fishbase) and spawn at least 25km (IUCN Redlist)
TIMING: spawning April/May (Jilek+ R.+ Cassell+ B.+ Peace+ D.+ Garza+ Y.+ Riley+ L.+ & Siewart+ T. (1979). Spawning population dynamics of smelt+ Osmerus mordax. Journal of Fish Biology+ 15(1)+ 31-35.)
POPULATION SPECIFIC: some completely freshwater populations (IUCN Red List)",unk,,Nikki,2555,7 years max (fishbase),
,Etheostoma,caeruleum,Chordata,Actinopterygii,Perciformes,Percidae,NA,365,1 year (Marjan+ P.+ Martyniuk+ C. J.+ Fuzzen+ M. L.+ MacLatchy+ D. L.+ McMaster+ M. E.+ & Servos+ M. R. (2017). Returning to normal? Assessing transcriptome recovery over time in male rainbow darter (Etheostoma caeruleum) liver in response to wastewater‐treatment plant upgrades. Environmental toxicology and chemistry+ 36(8)+ 2108-2122.),365,1 year (Marjan+ P.+ Martyniuk+ C. J.+ Fuzzen+ M. L.+ MacLatchy+ D. L.+ McMaster+ M. E.+ & Servos+ M. R. (2017). Returning to normal? Assessing transcriptome recovery over time in male rainbow darter (Etheostoma caeruleum) liver in response to wastewater‐treatment plant upgrades. Environmental toxicology and chemistry+ 36(8)+ 2108-2122.),Y,0-1,"MOVEMENT: high site fidelity and move max of 975m+ site fidelity to riffles spaced less than 350m apart (https://doi.org/10.1002/rra.3161)
LARVAE: larval stage less than 10 days (Paine+ M. D.+ & Balon+ E. K. (1984). Early development of the rainbow darter+ Etheostoma caeruleum+ according to the theory of saltatory ontogeny. Environmental biology of fishes+ 11(4)+ 277-299.)
",,,7.7,TL male/unsexed -fishbase,5.3,TL male/unsexed -fishbase,5.3,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.00196-0.00785,site fidelity to riffles of 50–100 m in length+ used as diameter (https://doi.org/10.1002/rra.3161),Nikki,1095,3 years max (fishbase),
,Etheostoma,flabellare,Chordata,Actinopterygii,Perciformes,Percidae,NA,365,1 year (NatureServe Explorer),365,1 year (NatureServe Explorer),Y,0-1,"MOVEMENT: max 178.5m travelled between riffle habitats - table 1+ and high site fidelity+  87% moved from their initial point of capture (https://thekeep.eiu.edu/theses/1539/ + https://doi.org/10.1080/02705060.1984.9664612)
LARVAE: eggs laid under stones (IUCN Red List)",,,8.4,TL male/unsexed -fishbase,5.2,TL male/unsexed -fishbase,5.2,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.0000283,75% of movements within 30m of initial site (https://doi.org/10.1080/02705060.1984.9664612),Nikki,1580,4 years max (fishbase),
,Etheostoma,nigrum,Chordata,Actinopterygii,Perciformes,Percidae,NA,365,1 year (NatureServe Explorer),365,1 year (NatureServe Explorer),Y,0-1,"MOVEMENT: max 155.5m travelled between habitats - table 1 (https://doi.org/10.1080/02705060.1984.9664612) and high site fidelity+  96% moved from their initial point of capture (https://thekeep.eiu.edu/theses/1539/)
LARVAE: eggs laid under stones (IUCN Red List)",,,7.2,TL male/unsexed -fishbase,3.9,TL male/unsexed -fishbase,3.9,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.0000283,75% of movements within 30m of initial site (https://doi.org/10.1080/02705060.1984.9664612),Nikki,1580,4 years max (fishbase),
,Etheostoma,spectabile,Chordata,Actinopterygii,Perciformes,Percidae,NA,365,1 year (NatureServe Explorer),365,1 year (NatureServe Explorer),Y,0-1,"MOVEMENT: max 178.5m travelled between habitats - table 1 (https://doi.org/10.1080/02705060.1984.9664612)
LARVAE: eggs buried (IUCN Red List)",,,7.2,TL male/unsexed -fishbase,4.7,TL male/unsexed -fishbase,4.7,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,0.0000283,75% of movements within 30m of initial site (https://doi.org/10.1080/02705060.1984.9664612),Nikki,730,rarely longer than 2 years (http://www.twdb.texas.gov/publications/reports/contracted_reports/doc/95483107_Edwards-Ecol%20Profiles%20Freshwater%20Fish%20Part%20I.pdf),
,Gymnocephalus,cernua,Chordata,Actinopterygii,NA,Percidae,NA,365,1-3 years (IUCN Red List),365,1-3 years (IUCN Red List),Y,1-10,"LARVAE: PLD 7 days; dermersal after yolk sac absorption at 7 days (Gutsch+ M.+ & Hoffman+ J. (2016). A review of Ruffe (Gymnocephalus cernua) life history in its native versus non-native range. Reviews in fish biology and fisheries+ 26(2)+ 213-233. AND https://doi.org/10.1080/02705060.1992.9664670) 
MIGRATION: in some cases migrate 15km+ to overwintering grounds (Gutsch+ M.+ & Hoffman+ J. (2016). A review of Ruffe (Gymnocephalus cernua) life history in its native versus non-native range. Reviews in fish biology and fisheries+ 26(2)+ 213-233.)",,,25,TL male/unsexed -fishbase,12,TL male/unsexed -fishbase,12,TL male/unsexed -fishbase,Y,none,no dormancy reported,migratory,Gutsch+ M.+ & Hoffman+ J. (2016). A review of Ruffe (Gymnocephalus cernua) life history in its native versus non-native range. Reviews in fish biology and fisheries+ 26(2)+ 213-233.,August/September/October/November/December/January/February/March/April,NA,"DISTANCE: 15+km for invasive populations (https://doi.org/10.1007/s11160-016-9422-5)
TIMING: Aug/Oct-March/April (https://doi.org/10.1007/s11160-016-9422-5)
POPULATION SPECIFIC: difference in timing+ invasive coastal populations near Great Lakes overwinter in Great Lakes+ Aug/Oct-March/April+ fig 3 (https://doi.org/10.1007/s11160-016-9422-5)
native populations migrate from overwinter habitat to river mouths to spawn in April (https://doi.org/10.1016/S0380-1330(98)70818-4)",unk,,Nikki,4015,11 years max (NatureServe Explorer),
,Perca,flavescens,Chordata,Actinopterygii,Perciformes,Percidae,sub-adults,1095,3-4 years (NatureServe Explorer),730,2-3 years (NatureServe Explorer),,10-100,"MOVEMENT: spawning site straying of up to 92km (https://doi.org/10.1139/F08-100)
LARVAE: found connectivity between lake erie and lake st clair during larval stage - detroit river is 45km long  (https://doi.org/10.1139/cjfas-2015-0161) ",,,50,TL male/unsexed -fishbase,19.1,TL male/unsexed -fishbase,19.1,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,2587.7-10861.87,depending on population+ 90% recapture rate within 28.7-58.8km of original location+ used as radius (Glover+ D. C.+ Dettmers+ J. M.+ Wahl+ D. H.+ & Clapp+ D. F. (2008). Yellow perch (Perca flavescens) stock structure in Lake Michigan: an analysis using mark–recapture data. Canadian Journal of Fisheries and Aquatic Sciences+ 65(9)+ 1919-1930.),Nikki,4015,11 years max (fishbase),
,Sander,vitreus,Chordata,Actinopterygii,Perciformes,Percidae,juveniles,1095,3-8 years (NatureServe Explorer),730,2-4 years (NatureServe Explorer),,100+,"MOVEMENT: found fairly high spawning site fidelity but no mention of straying distance (https://doi.org/10.1111/eff.12350) high overlap in home range between years (https://doi.org/10.1080/02705060.2016.1240110) 
GENETIC: lack of genetic structure suggests straying is sufficient in lake winnipeg populations separated by 300+ km (https://doi.org/10.1016/j.jglr.2011.05.005)
MIGRATION: adult can move more than 160km to spawn (NatureServe Explorer)  ",,,107,FL male/unsexed -fishbase,54,TL male/unsexed -fishbase,54,TL male/unsexed -fishbase,Y,none,no dormancy reported,migratory,IUCN Red List,spring,spring,"DISTANCE: than 160km (NatureServe Explorer)
TIMING: spring
POPULATION SPECIFIC: northern spawn in early summer (NatureServe Explorer)",0.679-3,67.9 ha+ <300 ha (https://doi.org/10.1080/02705060.2016.1240110),Nikki,10585,29 years max (fishbase),
,Heterandria,formosa,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,NA,44,Table 4 with 1 male (https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1420-9101.2011.02383.x),95,Table 4 with 1 male (https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1420-9101.2011.02383.x),,100+,"GENETIC: gene flow between populations 100+ km apart along each fork of a river (https://doi.org/10.1046/j.1365-2540.1998.00410.x)
LARVAE: viviparous (Leips+ J.+ Helen Rodd+ F.+ & Travis+ J. (2013). The adaptive significance of population differentiation in offspring size of the least killifish+ Heterandria formosa. Ecology and evolution+ 3(4)+ 948-960.)",,,3.6,TL male/unsexed -fishbase,2.1,TL male/unsexed -fishbase,2.1,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,unk,,Nikki,120,120 days max (Soucy+ S.+ & Travis+ J. (2003). Multiple paternity and population genetic structure in natural populations of the poeciliid fish+ Heterandria formosa. Journal of Evolutionary Biology+ 16(6)+ 1328-1336.),
,Abudefduf,saxatilis,Chordata,Actinopterygii,Perciformes,Pomacentridae,NA,1825,5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 ),1825,5 years (http://dx.doi.org/10.1590/S1679-87592007000300004 ),Y,10-100,LARVAE: PLD 17-20 days (https://doi.org/10.1007/BF00541659),,,22.9,TL male/unsexed -fishbase,15,SL male/unsexed -fishbase,15,SL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,unk,,Nikki,1825,2-5 years+ but not the best source (http://www.theaquariumwiki.com/wiki/Abudefduf_saxatilis),
,Coregonus,artedi,Chordata,Actinopterygii,Salmoniformes,Salmonidae,larvae,365,1-4 years (https://animaldiversity.org/accounts/Coregonus_artedi/),365,1-4 years (https://animaldiversity.org/accounts/Coregonus_artedi/),Y,10-100,MOVEMENT: site fidelity currently kunk (https://doi.org/10.7298/V1GS-7B37) suggests high (10-100km) larval drift (https://doi.org/10.1139/F08-068)+ usually live within a few km but can travel 82km from hatching place (https://animaldiversity.org/accounts/Coregonus_artedi/),,,57,TL male/unsexed -fishbase,29.3,TL male/unsexed -fishbase,29.3,TL male/unsexed -fishbase,Y,none,no dormancy reported,migratory,IUCN Red List,winter(including Nov and Dec),NA,"DISTANCE: 82km max (https://animaldiversity.org/accounts/Coregonus_artedi/) and more than 10 (https://doi.org/10.1139/z81-219)
TIMING: anadromous+ move to shallow coastal waters to spawn in winter (Nov/Dec is when spawning occurs) (https://animaldiversity.org/accounts/Coregonus_artedi/ AND https://doi.org/10.1139/z81-219)",unk,,Nikki,4745,average 6-10 years+ max 13 (https://animaldiversity.org/accounts/Coregonus_artedi/),
,Coregonus,clupeaformis,Chordata,Actinopterygii,Salmoniformes,Salmonidae,juveniles,365,1-7 years depending on location (NatureServe Explorer),365,1-7 years depending on location (NatureServe Explorer),Y,10-100,"MOVEMENT: studies found high site fidelity+ tagged fish consistently returned to spawning areas even in overlapping populations+ non-mixing populations within 20km of one another (https://doi.org/10.1577/1548-8659(1985)5<435:PSYEAM>2.0.CO;2)
MIGRATION: adults can travel 242km but 40km more typical (https://animaldiversity.org/accounts/Coregonus_clupeaformis/) 
OTHER: study of a population supports 10-100km dispersal (Rennie+ M. D.+ Ebener+ M. P.+ & Wagner+ T. (2012). Can migration mitigate the effects of ecosystem change? Patterns of dispersal+ energy acquisition and allocation in Great Lakes lake whitefish (Coregonus clupeaformis). Advances in Limnology+ 63(429)+ 455-476.)",,,100,TL male/unsexed -fishbase,54.1,TL male/unsexed -fishbase,54.1,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,NatureServe Explorer,NA,NA,NA,32.55,96% recaptured within 25 miles (https://doi.org/10.1577/1548-8659(1939)69[63:TEWLTW]2.0.CO;2)+ most recaptured within 20km in another population (Rennie+ M. D.+ Ebener+ M. P.+ & Wagner+ T. (2012). Can migration mitigate the effects of ecosystem change? Patterns of dispersal+ energy acquisition and allocation in Great Lakes lake whitefish (Coregonus clupeaformis). Advances in Limnology+ 63(429)+ 455-476.),Nikki,18250,50 years max but 25 max more typical (https://animaldiversity.org/accounts/Coregonus_clupeaformis/),
,Oncorhynchus,mykiss,Chordata,Actinopterygii,Salmoniformes,Salmonidae,NA,1095,3 years (fishbase),730,2 years (fishbase),,0-1,"MOVEMENT: display site fidelity when released 1km away with other populations as close as 5km nearby suggests less than 1km dispersal (doi:10.1006/jmsc.2000.1041)
MIGRATION: anadromous forms migrate at least hundreds of miles between spawning stream and marine water (NatureServe Explorer)",,,122,TL male/unsexed -fishbase,60,TL male/unsexed -fishbase,60,TL male/unsexed -fishbase,Y,none,no dormancy reported,migratory,NatureServe Explorer+ some forms anadromous and some resident ,spring,spring,"DISTANCE: at least hundreds of miles - but depends on form (NatureServe Explorer) 
TIMING: spring (Feb-Jun)
POPULATION SPECIFIC: anadromous marine forms migrate up to at least hundreds of miles+ stream-dwelling may spend entire life in few hundred meters of stream+ lake-dwelling migrate to tributaries to spawn",0.005-0.135,0.5-13.5 ha+ range taken from fig 1+2 (Blanchfield+ P. J.+ Tate+ L. S.+ & Podemski+ C. L. (2009). Survival and behaviour of rainbow trout (Oncorhynchus mykiss) released from an experimental aquaculture operation. Canadian Journal of Fisheries and Aquatic Sciences+ 66(11)+ 1976-1988.),Nikki,4015,11 years max+ 5-6 years normal (fishbase + NatureServe Explorer),
,Salmo,trutta,Chordata,Actinopterygii,Salmoniformes,Salmonidae,sub-adults,1095,3-4 years (fishbase),1095,3-4 years (fishbase),,10-100,MOVEMENT: low site fidelity after spawning+ saw movement between populations around 25km apart (https://doi.org/10.1139/cjfas-2015-0015) and adult found to have travelled 80km in capture-recapture (https://doi.org/10.1111/j.1095-8649.1987.tb05218.x) ,,,140,SL male/unsexed -fishbase,72,TL male/unsexed -fishbase,72,TL male/unsexed -fishbase,Y,none,no dormancy reported,migratory,IUCN Red List,May-October,NA,"DISTANCE: max reported in literature of 71km (Saraniemi+ M.+ Huusko+ A.+ & Tahkola+ H. (2008). Spawning migration and habitat+ use of adfluvial brown trout+ Salmo trutta+ in a strongly seasonal boreal river.) 
TIMING: depends on ecotype... very complicated+ but if assuming anadromous then autumn (IUCN Red List)
POPULATION SPECIFIC: anadromous+ lacustrine and resident ecotypes differ in overwintering AND spawning migration patterns+ see IUCN Red List",0.00009,90m2 for resident portion of population (https://doi.org/10.1111/j.1095-8649.1993.tb01163.x),Nikki,13870,38 years max+ but anadromous rarely live past 10+ average depends on population from 3-8 (NatureServe Explorer),
,Thymallus,arcticus,Chordata,Actinopterygii,Salmoniformes,Salmonidae,NA,1095,3-4 years (NatureServe Explorer),1095,3-4 years (NatureServe Explorer),Y,1-10,"MOVEMENT: high site fidelity to 5km of same river after performing migration (https://doi.org/10.1023/A:1007626507936)
MIGRATION: adults known to travel 160km+ in a year (https://animaldiversity.org/accounts/Thymallus_arcticus/)",,,76,TL male/unsexed -fishbase,34.3,TL male/unsexed -fishbase,34.3,TL male/unsexed -fishbase,Y,none,no dormancy reported,migratory,IUCN Red List,April-Aug/Sept,April-Aug/Sept,"DISTANCE: 60 miles between habitats (https://www.fws.gov/fisheries/freshwater-fish-of-america/arctic_grayling.html)
TIMING: migrate to spawn in early spring+ move to summer feeding areas and then return to overwintering habitat for 8-9 months (https://animaldiversity.org/accounts/Thymallus_arcticus/) 
POPULATION SPECIFIC: ecotypes differ in migratory pattern and duration of lifecycle stages (IUCN Red List)
LOGIC: 8-9 month overwinter + move to spawn in April means they likely return to winter habitat in August/September",0.05-0.071,63-75m distance between most downstream and upstream point in a population depending on which habitat+ table 1 - (https://doi.org/10.1111/j.0022-1112.2004.00403.x) - used as diameter ,Nikki,6570,18 years max+ usually less than 6 but up to 10 (fishbase + NatureServe Explorer),
,Scatophagus,argus,Chordata,Actinopterygii,Perciformes,Scatophagidae,NA,365,1 year (https://doi.org/10.1080/23308249.2015.1119800),365,1 year (https://doi.org/10.1080/23308249.2015.1119800),Y,1-10,LARVAE: PLD 4 days; 1 day for pelagic egg hatching and 4 until feeding begins (http://en.cnki.com.cn/Article_en/CJFDTotal-RDHY201005030.htm),,,38,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,none reported in life history (WONGCHINAWIT+ S.+ & PAPHAVASIT+ N. (2009). Ontogenetic niche shift in the spotted scat+ Scatophagus argus+ in pak phanang estuary+ Nakhon Si Thammarat Province+ Thailand. Tropical Natural History+ 9(2)+ 143-169.),NA,NA,NA,unk,,Nikki,4380,8-12 years+ but not the best source (http://www.theaquariumwiki.com/wiki/Scatophagus_argus),
,Aplodinotus,grunniens,Chordata,Actinopterygii,Perciformes,Sciaenidae,juveniles,730,4-6 years (NatureServe Explorer),730,2-4 years (NatureServe Explorer),,1-10,LARVAE: PLD 7 days; pelagic eggs that float at surface+ hatch in 4 days and stay at surface for 3 more days (NatureServe Explorer+ https://animaldiversity.org/accounts/Aplodinotus_grunniens/),,,95,TL male/unsexed -fishbase,45,TL male/unsexed -fishbase,45,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,IUCN Red List,NA,NA,NA,unk,,Nikki,4745,13 years max+ 6-8 years average (fishbase + NatureServe Explorer),
,Diplodus,vulgaris,Chordata,Actinopterygii,Perciformes,Sparidae,NA,730,2 years (IUCN Red List),730,2 years (IUCN Red List),Y,1-10,LARVAE: PLD 6 days (https://doi.org/10.1016/0044-8486(88)90343-2),,,45,TL male/unsexed -fishbase,22,TL male/unsexed -fishbase,22,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,"DOI: 10.1046/j.1439-0426.2000.00232.x + ""movements of D. vulgaris during the spawning season resembled random movement within a specific HR area""+ https://doi.org/10.1016/j.ecss.2009.09.001",NA,NA,NA,0.023786-0.042134,range of polygon area from tag-recapture study (https://doi.org/10.1016/j.ecss.2009.09.001),Nikki,7300,8 years+ but can exceed 20 (IUCN Red List),
,Terapon,jarbua,Chordata,Actinopterygii,Perciformes,Terapontidae,NA,2555, length of 21.8 for mature female (https://core.ac.uk/download/pdf/229218496.pdf)+ 7 years using growth curve from (https://www.researchgate.net/profile/Maybelle_Fortaleza/publication/332142792_Age-Growth_Parameters_of_Crescent_Grunter_Terapon_jarbua_Forsskal_1775_in_Mindanao_Philippines/links/5ca31429a6fdccab2f67d3fa/Age-Growth-Parameters-of-Crescent-Grunter-Terapon-jarbua-Forsskal-1775-in-Mindanao-Philippines.pdf),2372.5, length of 20.8 for mature male (https://core.ac.uk/download/pdf/229218496.pdf)+ 6.5 years using growth curve from (https://www.researchgate.net/profile/Maybelle_Fortaleza/publication/332142792_Age-Growth_Parameters_of_Crescent_Grunter_Terapon_jarbua_Forsskal_1775_in_Mindanao_Philippines/links/5ca31429a6fdccab2f67d3fa/Age-Growth-Parameters-of-Crescent-Grunter-Terapon-jarbua-Forsskal-1775-in-Mindanao-Philippines.pdf),,10-100,"LARVAE: PLD 25.1 days (https://doi.org/10.1080/19425120.2015.1074966) 
MOVEMENT: high connectivity between populations around taiwan but cannot infer dispersal distance (https://doi.org/10.1080/19425120.2015.1074966)",,,36,TL male/unsexed -fishbase,25,SL male/unsexed -fishbase,25,SL male/unsexed -fishbase,Y,none,no dormancy reported,unk,Fishbase,NA,NA,"DISTANCE: unk
TIMING: catadromous+ spawning peaks in Mar-May (https://pdfs.semanticscholar.org/9bd1/15ae357ade3260f778d32b1a955b8a5fcec5.pdf)+ Fishbase
",unk,,Nikki,3650,5-10 years+ but not the best source (http://www.theaquariumwiki.com/wiki/Terapon_jarbua),
,Sphoeroides,annulatus,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,juveniles,unk,size at first maturity found (https://doi.org/10.1111/j.1439-0426.2011.01754.x) females (28.2 cm TL) and males (28.6 cm TL),unk,,,unk,adhesive and demersal eggs (https://doi.org/10.1016/S0044-8486(03)00367-3),,,44,TL male/unsexed -fishbase,18,TL male/unsexed -fishbase,18,TL male/unsexed -fishbase,Y,none,no dormancy reported,unk,only personal observations of migration exist (https://doi.org/10.1016/S0044-8486(02)00299-5),NA,NA,only personal observations of migration exist (https://doi.org/10.1016/S0044-8486(02)00299-5),unk,,Nikki,5475,kunk by (https://naturalhistory2.si.edu/smsfp/irlspec/Sphoer_testud.htm) but 8-15 years+ not the best source (http://www.theaquariumwiki.com/wiki/Sphoeroides_annulatus),
,Retropinna,retropinna,Chordata,Actinopterygii,Osmeriformes,Retropinnidae,adult,365,1-2 years (IUCN Red List AND https://books.google.ca/books?id=8PrtCAAAQBAJ&pg=PA279&lpg=PA279&dq=retropinna+retropinna+migration+distance&source=bl&ots=nUWbUsKxcm&sig=ACfU3U23aj4ewdoYthi4eKTsWfHLI_Ql6g&hl=en&sa=X&ved=2ahUKEwja9pi5uvXmAhUKWN8KHU13BhMQ6AEwB3oECAsQAQ#v=onepage&q=retropinna%20retropinna%20migration%20distance&f=false),365,1-2 years (IUCN Red List AND https://books.google.ca/books?id=8PrtCAAAQBAJ&pg=PA279&lpg=PA279&dq=retropinna+retropinna+migration+distance&source=bl&ots=nUWbUsKxcm&sig=ACfU3U23aj4ewdoYthi4eKTsWfHLI_Ql6g&hl=en&sa=X&ved=2ahUKEwja9pi5uvXmAhUKWN8KHU13BhMQ6AEwB3oECAsQAQ#v=onepage&q=retropinna%20retropinna%20migration%20distance&f=false),Y,1-10,"MOVEMENT: larvae hatch in estuaries and rivers+ disperse and develop at sea+ and recruit to freshwater as juveniles - estimate based on fact that larvae disperse but return (http://hdl.handle.net/10063/6250)
****landlocked populations exist that do not have this life history ",,,8.6,FL male/unsexed -fishbase,,,,,,none,no dormancy reported,migratory,IUCN Red List,NA,NA,POPULATION SPECIFIC: distinct anadromous and non-diadromous stocks that often exist in sympatry (10.1071/MF07238),unk,,Jenn/Nikki,1460,4 years max (IUCN Red List),
potentially drop this species+ one population is a subspecies,Gasterosteus,aculeatus,Chordata,Actinopterygii,Perciformes,Gasterosteidae,adult,365,1-2 years (IUCN Red List),365,1-2 years (IUCN Red List),Y,0-1,"MOVEMENT: 80% express homing ability to 20m from capture site when released up to 200m away from home (https://doi.org/10.1163/1568539X-00003115) express natal homing ability with little straying to 3 breeding sites within 1km2+ suggesting low gene flow due to migration (10.14288/1.0087302) 
MIGRATION: can migrate 100km+ (https://doi.org/10.1139/z86-064)",,,11,TL male/unsexed -fishbase,5.1,TL male/unsexed -fishbase,5.1,TL male/unsexed -fishbase,Y,none,no dormancy reported,migratory,IUCN Red List,March-April,March-April,"DISTANCE: 100km+ (https://doi.org/10.1139/z86-064)
TIMING: anadromous+ adults move to river in March-April+ juveniles move to sea in July-August (IUCN Red List)
POPULATION SPECIFIC: numerous resident populations in brackish or pure freshwater (IUCN Red List)",unk,,Jenn/Nikki,2920,8 years max but typically do not live beyond 4 (fishbase),
,Zoarces,viviparus,Chordata,Actinopterygii,Perciformes,Zoarcidae,NA,365,"2 methods: first+ size at maturity was given in Fishbase+ and maximum size and age were also given+ working backwards along a typical growth curve this suggests 1 year. Second+ maturity at age 1 was implied by 
+ as females geater than 1 year were used to assess state of reproductive females.",unk,,,10-100,GENETIC: study suggests considerable gene flow up to 90km (doi:10.1111/j.1095-8649.2012.03286.x) and (Simonsen and Strand. Hereditas 147: 250–255 (2010)+ ),,,52,TL male/unsexed -fishbase,30,TL male/unsexed -fishbase,30,TL male/unsexed -fishbase,Y,none,no dormancy reported,non-migratory,Simonsen and Strand. Hereditas 147: 250–255 (2010),NA,NA,NA,10-100km,Simonsen and Strand. Hereditas 147: 250–255 (2010),Jenn/Nikki,5110,5-14 years max (IUCN Red List),
,Oncorhynchus,clarkii,Chordata,Actinopterygii,Salmoniformes,Salmonidae,juveninles,1095,AnAge,1095,AnAge,,1-10,MOVEMENT: returns to natal stream+ high site fidelity of most to 200m from capture after migrations up to 30km (https://doi.org/10.1111/jfb.13824),,,99,TL male/unsexed -fishbase,,,,,,none,no dormancy reported,migratory,"described as sea-run cuthroat trout in thermal tolerance reference+ ""most juvenile cutthroat trout that migrate to the ocean for the first time (smolts) do so after their third winter"" https://odfw.forestry.oregonstate.edu/conference/cuthist.html",July-September,NA,"DISTANCE: up to 50 miles (https://odfw.forestry.oregonstate.edu/conference/cuthist.html)
TIMING: migration to freshwater to spawn occurs after the 3rd winter (maturity)+ leave for freshwater July-September+ return to salt water within 6 weeks of spawning (https://odfw.forestry.oregonstate.edu/conference/cuthist.html)",15,Wikipedia_page+ site fidelity to less than 200m (https://doi.org/10.1111/jfb.13824),Joanne/Jenn,2920,6-8 years animaldiversity.org+ 10 years max (fishbase),
,Anaxyrus,boreas,Chordata,Amphibia,Anura,NA,Adult,1460,4-6 years (amphibio),1460,4-6 years (amphibio),Y,1-10,up to 7.2km (https://www.sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_toad_e.pdf),,,12.5,SVL - amphibio,,,,,,winter,lodge in squirrel burrows in the winter and return home in summer (AmphibiaWeb),non-migratory,taxa,NA,NA,NA,0.043558-0.046185,home range including and excluding breeding site (https://www.sararegistry.gc.ca/virtual_sara/files/cosewic/sr_western_toad_e.pdf),Nikki,4197.5,11.5 years max (amphibio),
,Anaxyrus,cognatus,Chordata,Amphibia,Anura,NA,Adult,730,2-5 years (Amphibio),730,2-5 years (Amphibio),Y,1-10,may move more than 1km from breeding pond (amphibiaweb),,,11.4,SVL - amphibio,,,,,,winter,overwinter by burrowing below the frostline (amphibiaweb),non-migratory,taxa,NA,NA,NA,1.19,615m linear distance on average (amphibiaweb),Nikki,3890,10 years 8 months max (AmphibiaWeb)+ 10 years (amphibio),
,Anaxyrus,woodhousii,Chordata,Amphibia,Anura,NA,larva,730,2 years (amphibio),730,2 years (amphibio),Y,0-1,"""migrates up to several hundred meters between breeding pools and adjacent nonbreeding terrestrial habitats"" (NatureServe Explorer) and ""long-distance migrations of large numbers of individuals have not been reported"" (amphibiaweb)",,,12.7,SVL - amphibio,,,,,,winter,"""inactive during cold months of fall+ winter+ and early spring"" (NatureServe Explorer)",non-migratory,taxa,NA,NA,NA,kunk,AmphibiaWeb,Nikki,2920,8 years max (amphibio),
