intratherm_id,extractor,ref,original_compilation,genus_species,population_id,acclim_temp,latitude,longitude,coordinates_source,genus_from_study,species_from_study,location_description,realm_general3,acclim_time,parameter_value,parameter_tmax_or_tmin,error_estimate,error_type,sample_size,metric_type,metric_description,ramping_rate,ramping_to_reach_st,duration_of_chronic_exposure,temp_before_pretreament_held_or_ff_for_field_fresh,timing_of_collection,elevation_of_collection,life_stage.x,phylum.x,class.x,order.x,family.x,realm_specific,realm_general,notes.x,n_cat,record_number,record,acclim_time_life_120,log_acclim_time,safety,log_elevation,elev_min,iucn_2104risk,rate_acclimation_c_day,weight_g,realm_general2,acclim_time_original,acclim_time_units,trophic_position,source_logic_for_trophic_position,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering,logic_source_for_dispersal_type,cold_season_dormancy,source_logic_for_cold_season_dormancy,highland_specialist,source_logic_for_highland_specialist,no_acclimation,genus,species,class,order,family,life_stage,age_maturity_days_female,age_maturity_days_female_reference,age_maturity_days_male,age_maturity_days_male_reference,age_maturity.days_unknown_sex,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_distance2_category,logic_source_for_dispersal_distance2,maximum_body_size_svl_hbl_cm,source_for_maximum_body_size,average_body_size_female,average_body_size_female_reference,average_body_size_male,average_body_size_male_reference,average_body_size_unknown_sex,season_inactive,logic_source_for_season_inactive,migratory,source_logic_for_migration_info,season_when_away_10km...migratory.only.,season_when_away_100km...migratory.only.,logic_source_season_when_away,data_gatherer,Home.range.size_Km2,logic.source_for_Home.range.size,lifespan_days,lifespan_days_reference,Notes
882,NA,Rajaguru 2002,Comte,Etroplus suratensis,Etroplus suratensis_11.49,28,11.49,79.76,,Etroplus,suratensis,Vellar Brackish Tamil Nadu India,Aquatic,NA,40.75,tmax,NA,SD,10,critical,LOE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cichlidae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Etroplus,suratensis,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,10-Jan,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),NA,NA,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,kunk,kunk,NA,Nikki,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),1555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),NA
883,NA,Rajaguru 2002,Comte,Etroplus suratensis,Etroplus suratensis_11.49,20,11.49,79.76,,Etroplus,suratensis,Vellar Brackish Tamil Nadu India,Aquatic,NA,38.5,tmax,NA,SD,10,critical,LOE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cichlidae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Etroplus,suratensis,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,10-Jan,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),NA,NA,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,kunk,kunk,NA,Nikki,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),1555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),NA
884,NA,Rajaguru 2002,Comte,Etroplus suratensis,Etroplus suratensis_11.49,25,11.49,79.76,,Etroplus,suratensis,Vellar Brackish Tamil Nadu India,Aquatic,NA,39.5,tmax,NA,SD,10,critical,LOE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cichlidae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Etroplus,suratensis,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,10-Jan,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),NA,NA,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,kunk,kunk,NA,Nikki,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),1555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),NA
885,NA,Rajaguru 2002,Comte,Etroplus suratensis,Etroplus suratensis_11.49,28,11.49,79.76,,Etroplus,suratensis,Vellar Brackish Tamil Nadu India,Aquatic,NA,41,tmax,NA,SD,10,critical,LOE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cichlidae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Etroplus,suratensis,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,10-Jan,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),NA,NA,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,kunk,kunk,NA,Nikki,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),1555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),NA
886,NA,Rajaguru 2002,Comte,Etroplus suratensis,Etroplus suratensis_11.49,30,11.49,79.76,,Etroplus,suratensis,Vellar Brackish Tamil Nadu India,Aquatic,NA,42,tmax,NA,SD,10,critical,LOE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cichlidae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Etroplus,suratensis,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,10-Jan,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),NA,NA,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,kunk,kunk,NA,Nikki,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),1555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),NA
887,NA,Rajaguru 2002,Comte,Etroplus suratensis,Etroplus suratensis_11.49,35,11.49,79.76,,Etroplus,suratensis,Vellar Brackish Tamil Nadu India,Aquatic,NA,42.75,tmax,NA,SD,10,critical,LOE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cichlidae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Etroplus,suratensis,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,10-Jan,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),NA,NA,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,kunk,kunk,NA,Nikki,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),1555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),NA
888,NA,Rajaguru 2002,Comte,Etroplus suratensis,Etroplus suratensis_11.49,28,11.49,79.76,,Etroplus,suratensis,Vellar Brackish Tamil Nadu India,Aquatic,NA,42.25,tmax,NA,SD,10,critical,OS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cichlidae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Etroplus,suratensis,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,10-Jan,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),NA,NA,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,kunk,kunk,NA,Nikki,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),1555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),NA
889,NA,Rajaguru 2002,Comte,Etroplus suratensis,Etroplus suratensis_11.49,20,11.49,79.76,,Etroplus,suratensis,Vellar Brackish Tamil Nadu India,Aquatic,NA,39.75,tmax,NA,SD,10,critical,OS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cichlidae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Etroplus,suratensis,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,10-Jan,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),NA,NA,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,kunk,kunk,NA,Nikki,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),1555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),NA
890,NA,Rajaguru 2002,Comte,Etroplus suratensis,Etroplus suratensis_11.49,25,11.49,79.76,,Etroplus,suratensis,Vellar Brackish Tamil Nadu India,Aquatic,NA,40.5,tmax,NA,SD,10,critical,OS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cichlidae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Etroplus,suratensis,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,10-Jan,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),NA,NA,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,kunk,kunk,NA,Nikki,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),1555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),NA
891,NA,Rajaguru 2002,Comte,Etroplus suratensis,Etroplus suratensis_11.49,28,11.49,79.76,,Etroplus,suratensis,Vellar Brackish Tamil Nadu India,Aquatic,NA,42,tmax,NA,SD,10,critical,OS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cichlidae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Etroplus,suratensis,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,10-Jan,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),NA,NA,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,kunk,kunk,NA,Nikki,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),1555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),NA
892,NA,Rajaguru 2002,Comte,Etroplus suratensis,Etroplus suratensis_11.49,30,11.49,79.76,,Etroplus,suratensis,Vellar Brackish Tamil Nadu India,Aquatic,NA,43,tmax,NA,SD,10,critical,OS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cichlidae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Etroplus,suratensis,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,10-Jan,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),NA,NA,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,kunk,kunk,NA,Nikki,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),1555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),NA
893,NA,Rajaguru 2002,Comte,Etroplus suratensis,Etroplus suratensis_11.49,35,11.49,79.76,,Etroplus,suratensis,Vellar Brackish Tamil Nadu India,Aquatic,NA,43.5,tmax,NA,SD,10,critical,OS,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cichlidae,NA,Freshwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Freshwater,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Etroplus,suratensis,Actinopterygii,Perciformes,Cichlidae,NA,210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),210,7-8 months (https://pdfs.semanticscholar.org/b885/f792be53f7fb8340f179261ea2556b48bbec.pdf),Y,10-Jan,LARVAE: short pelagic larval stage and reduced dispersal ability (https://doi.org/10.1016/j.japb.2019.03.001) larval stage of 5-6 days (http://keralamarinelife.in/Journals/Vol4-12/Journal%20ABF%20V4%20Bindu%20and%20Padmakumar.pdf),NA,NA,40,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,20,TL male/unsexed -fishbase,Y,none,tropical fish (fishbase),kunk,IUCN Red List,kunk,kunk,NA,Nikki,0.000041-0.000081,41-81m^2 across different months (AHAMED+ A. R.+ & DHARMARETNAM+ M. Does Interspecific Competition with Introduced Oreochromis mossambicusAffect Home Range of Etroplus sp.?. Biosciences+ 3027+ 846.),1555,estimated to be 7 years (https://www.researchgate.net/publication/286112765_Age_and_growth_study_of_Etroplus_suratensis_Bloch_1790_Western_Ghats_of_Tamiraparani_river_India),NA
894,NA,"Hutchison, V. H. 1961. Critical thermal maxima in salamanders. Physiological Zoology 34:92-125.",Rohr,Eurycea bislineata,Eurycea bislineata_35.317,20,35.317,-83.209,,Eurycea,bislineata,"Jackson County, North Carolina",Terrestrial,30,32.1,tmax,NA,NA,3,critical,Onset of spasms,1,NA,NA,NA,NA,NA,Juvenile,NA,NA,Caudata,NA,NA,Terrestrial,NA,A,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Terrestrial,30,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurycea,bislineata,Amphibia,Caudata,Plethodontidae,unknown,1095,3-4 years (amphibio),1095,3-4 years (amphibio),Y,0-1,Johnson+ J. E. and Goldberg+ A. S. 1975. Movement of  larval two lined salamanders (Eurycea bislineata ) in the Mill River+ Massachusetts.  Copeia 1975: 588 -589.,NA,NA,12.3,TL - amphibio,NA,NA,NA,NA,NA,winter,"""may remain active in springs+ streams+ or water laden soil where temperatures are above freezing in winter months. Alternatively+ adults may burrow deep into leaf litter+ becoming inactive during cold seasons"" (https://animaldiversity.org/accounts/Eurycea_bislineata/) happens when below 7 degrees (DOI: 10.2307/1563609)",non-migratory,taxa,none,NA,NA,Micky/Ilona/Nikki,0.000014,average area in which movement took place was less than 14m2 (DOI: 10.2307/1563609),kunk,(http://www.northeastparc.org/products/riskassesspdfs/caudata/MaxLongevity_caudata.pdf),NA
895,NA,"Zweifel, R. G. 1957. Studies on the critical thermal maxima of salamanders. Ecology 38:64-69.",Rohr,Eurycea bislineata,Eurycea bislineata_37.375,22,37.375,-80.523,,Eurycea,bislineata,"Mountain Lake Biological Station, University of Virginia",Terrestrial,NA,34.5,tmax,NA,NA,2,critical,Swimming movements became spasmodic,NA,NA,NA,NA,NA,NA,Adult,NA,NA,Caudata,NA,NA,Terrestrial,NA,A,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,Terrestrial,NA,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurycea,bislineata,Amphibia,Caudata,Plethodontidae,unknown,1095,3-4 years (amphibio),1095,3-4 years (amphibio),Y,0-1,Johnson+ J. E. and Goldberg+ A. S. 1975. Movement of  larval two lined salamanders (Eurycea bislineata ) in the Mill River+ Massachusetts.  Copeia 1975: 588 -589.,NA,NA,12.3,TL - amphibio,NA,NA,NA,NA,NA,winter,"""may remain active in springs+ streams+ or water laden soil where temperatures are above freezing in winter months. Alternatively+ adults may burrow deep into leaf litter+ becoming inactive during cold seasons"" (https://animaldiversity.org/accounts/Eurycea_bislineata/) happens when below 7 degrees (DOI: 10.2307/1563609)",non-migratory,taxa,none,NA,NA,Micky/Ilona/Nikki,0.000014,average area in which movement took place was less than 14m2 (DOI: 10.2307/1563609),kunk,(http://www.northeastparc.org/products/riskassesspdfs/caudata/MaxLongevity_caudata.pdf),NA
896,FL,Layne_&_Claussen_1982ab,intratherm_team,Eurycea bislineata,Eurycea bislineata_39.77,25,39.77,-84.69,inferred,Eurycea,bislineata,"Preble County, Ohio, USA",Terrestrial,0,34.64103,tmax,0.28205,CI,7,critical,onset_of_rigor,0.5,NA,NA,5,Summer,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,terrestrial,terrestrial,Thermal limits extracted using OOo Digitizer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,0d,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurycea,bislineata,Amphibia,Caudata,Plethodontidae,unknown,1095,3-4 years (amphibio),1095,3-4 years (amphibio),Y,0-1,Johnson+ J. E. and Goldberg+ A. S. 1975. Movement of  larval two lined salamanders (Eurycea bislineata ) in the Mill River+ Massachusetts.  Copeia 1975: 588 -589.,NA,NA,12.3,TL - amphibio,NA,NA,NA,NA,NA,winter,"""may remain active in springs+ streams+ or water laden soil where temperatures are above freezing in winter months. Alternatively+ adults may burrow deep into leaf litter+ becoming inactive during cold seasons"" (https://animaldiversity.org/accounts/Eurycea_bislineata/) happens when below 7 degrees (DOI: 10.2307/1563609)",non-migratory,taxa,none,NA,NA,Micky/Ilona/Nikki,0.000014,average area in which movement took place was less than 14m2 (DOI: 10.2307/1563609),kunk,(http://www.northeastparc.org/products/riskassesspdfs/caudata/MaxLongevity_caudata.pdf),NA
897,FL,Layne_&_Claussen_1982ab,intratherm_team,Eurycea bislineata,Eurycea bislineata_39.77,25,39.77,-84.69,inferred,Eurycea,bislineata,"Preble County, Ohio, USA",Terrestrial,0.5,35.87179,tmax,0.28206,CI,7,critical,onset_of_rigor,0.5,NA,NA,5,Summer,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,terrestrial,terrestrial,Thermal limits extracted using OOo Digitizer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,0.5d,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurycea,bislineata,Amphibia,Caudata,Plethodontidae,unknown,1095,3-4 years (amphibio),1095,3-4 years (amphibio),Y,0-1,Johnson+ J. E. and Goldberg+ A. S. 1975. Movement of  larval two lined salamanders (Eurycea bislineata ) in the Mill River+ Massachusetts.  Copeia 1975: 588 -589.,NA,NA,12.3,TL - amphibio,NA,NA,NA,NA,NA,winter,"""may remain active in springs+ streams+ or water laden soil where temperatures are above freezing in winter months. Alternatively+ adults may burrow deep into leaf litter+ becoming inactive during cold seasons"" (https://animaldiversity.org/accounts/Eurycea_bislineata/) happens when below 7 degrees (DOI: 10.2307/1563609)",non-migratory,taxa,none,NA,NA,Micky/Ilona/Nikki,0.000014,average area in which movement took place was less than 14m2 (DOI: 10.2307/1563609),kunk,(http://www.northeastparc.org/products/riskassesspdfs/caudata/MaxLongevity_caudata.pdf),NA
898,FL,Layne_&_Claussen_1982ab,intratherm_team,Eurycea bislineata,Eurycea bislineata_39.77,25,39.77,-84.69,inferred,Eurycea,bislineata,"Preble County, Ohio, USA",Terrestrial,0.75,36.23077,tmax,0.23077,CI,7,critical,onset_of_rigor,0.5,NA,NA,5,Summer,NA,NA,Chordata,Amphibia,Caudata,Plethodontidae,terrestrial,terrestrial,Thermal limits extracted using OOo Digitizer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Terrestrial,0.75d,days,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eurycea,bislineata,Amphibia,Caudata,Plethodontidae,unknown,1095,3-4 years (amphibio),1095,3-4 years (amphibio),Y,0-1,Johnson+ J. E. and Goldberg+ A. S. 1975. Movement of  larval two lined salamanders (Eurycea bislineata ) in the Mill River+ Massachusetts.  Copeia 1975: 588 -589.,NA,NA,12.3,TL - amphibio,NA,NA,NA,NA,NA,winter,"""may remain active in springs+ streams+ or water laden soil where temperatures are above freezing in winter months. Alternatively+ adults may burrow deep into leaf litter+ becoming inactive during cold seasons"" (https://animaldiversity.org/accounts/Eurycea_bislineata/) happens when below 7 degrees (DOI: 10.2307/1563609)",non-migratory,taxa,none,NA,NA,Micky/Ilona/Nikki,0.000014,average area in which movement took place was less than 14m2 (DOI: 10.2307/1563609),kunk,(http://www.northeastparc.org/products/riskassesspdfs/caudata/MaxLongevity_caudata.pdf),NA
