num,reference,in_text
109,"De Magalhães, J. P., & Costa, J. (2009). A database of vertebrate longevity records and their relation to other life-history traits. Journal of Evolutionary Biology. https://doi.org/10.1111/j.1420-9101.2009.01783.x","De Magalhães & Costa, 2009"
110,"Debrot, A. O. (2003). A review of the freshwater fishes of Curaçao, with comments on those of Aruba and Bonaire. Caribbean Journal of Science."," Debrot, 2003"
111,"Debruyn, A. (2014). Conservation ecology of a unique population of lake chub (Cyprinidae: Couesius plumbeus): population size, movement ecology, habitat use and potential interactions with the exotic Cherry Shrimp (Neocaridina davidi var. red) (Issue September). University of British Columbia."," Debruyn, 2014"
112,"DeCicco, A. L. (1992). Long-Distance Movements of Anadromous Dolly Varden between Alaska and the U.S.S.R. (Vol. 45, Issue 2)."," DeCicco, 1992"
113,"Delgado, M. L., Górski, K., Habit, E., & Ruzzante, D. E. (2019). The effects of diadromy and its loss on genomic divergence: The case of amphidromous Galaxias maculatus populations. Molecular Ecology, 28(24), 5217–5231. https://doi.org/10.1111/mec.15290"," Delgado et al., 2019"
114,"Detrich, H. W., Jones, C. D., Kim, S., North, A. W., Thurber, A., & Vacchi, M. (2005). Nesting behavior of the icefish Chaenocephalus aceratus at Bouvetøya Island, Southern Ocean. Polar Biology, 28(11), 828–832. https://doi.org/10.1007/s00300-005-0010-8"," Detrich et al., 2005"
115,"Diamond, S. E., Chick, L., Perez, A., Strickler, S. A., & Martin, R. A. (2017). Rapid evolution of ant thermal tolerance across an urban-rural temperature cline. Biological Journal of the Linnean Society. https://doi.org/10.1093/BIOLINNEAN/BLW047"," Diamond et al., 2017"
116,"Diana, J. S., Mackay, W. C., & Ehrman, M. (1977). Movements and Habitat Preference of Northern Pike (Esox lucius) in Lac Ste. Anne, Alberta. Transactions of the American Fisheries Society, 106(6), 560–565. https://doi.org/10.1577/1548-8659(1977)106<560:mahpon>2.0.co;2"," Diana et al., 1977"
117,"Doole, G. J. (2005). Optimal management of the New Zealand longfin eel (Anguilla dieffenbachii). Australian Journal of Agricultural and Resource Economics, 49(4), 395–411. https://doi.org/10.1111/j.1467-8489.2005.00310.x"," Doole, 2005"
118,"Degenhardt, W. G., Painter, C. W., & Price, A. H. (2016). Amphibians and Reptiles of New Mexico. UNM Press.","Degenhardt et al., 2016"
119,"Downey, P., & Toetz, D. (1983). Distribution of Larval Gizzard Shad (Dorosoma cepedianum) in Lake Carl Blackwell, Oklahoma. American Midland Naturalist, 109(1), 23. https://doi.org/10.2307/2425511"," Downey & Toetz, 1983"
120,"Du, W. G., Ji, X., & Zhang, Y. P. (2006). Inter-population variation in life-history traits of a Chinese lizard (Takydromus septentrionalis, Lacertidae). Herpetological Journal."," Du et al., 2006"
121,"Du, W. G., Ji, X., Zhang, Y. P., Xu, X. F., & Shine, R. (2005). Identifying sources of variation in reproductive and life-history traits among five populations of a Chinese lizard (Takydromus septentrionalis, Lacertidae). Biological Journal of the Linnean Society, 85(4), 443–453. https://doi.org/10.1111/j.1095-8312.2005.00508.x"," Du et al., 2005"
122,"Duncan, N. J., Rodriguez, M. D. O. G. A., Alok, D., & Zohar, Y. (2003). Effects of controlled delivery and acute injections of LHRHa on bullseye puffer fish (Sphoeroides annulatus) spawning. Aquaculture, 218(1–4), 625–635. https://doi.org/10.1016/S0044-8486(02)00299-5"," Duncan et al., 2003"
123,"Durbin, A. G., Nixon, S. W., & Oviatt, C. A. (1979). Effects of the Spawning Migration of the Alewife, Alosa Pseudoharengus, on Freshwater Ecosystems. Ecology, 60(1), 8–17. https://doi.org/10.2307/1936461"," Durbin et al., 1979"
124,"Dyer, D. C., Perissinotto, R., & Carrasco, N. K. (2015). Temporal and spatial dietary dynamics of the longspine glassy (Ambassis ambassis) in the St Lucia Estuarine System, Isimangaliso Wetland Park. Water SA. https://doi.org/10.4314/wsa.v41i1.12"," Dyer et al., 2015"
125,"Dziminski, M. A., & Alford, R. A. (2005). Patterns and fitness consequences of intraclutch variation in egg provisioning in tropical Australian frogs. Oecologia, 146(1), 98–109. https://doi.org/10.1007/s00442-005-0177-2"," Dziminski & Alford, 2005"
126,"Ebener, M. P., & Copes, F. A. (1985). Population Statistics, Yield Estimates, and Management Considerations for Two Lake Whitefish Stocks in Lake Michigan. North American Journal of Fisheries Management, 5(3B), 435–448. https://doi.org/10.1577/1548-8659(1985)5<435:psyeam>2.0.co;2"," Ebener & Copes, 1985"
127,"Edwards, M. S. (1998). Effects of long-term kelp canopy exclusion on the abundance of the annual alga Desmarestia ligulata (Light F). Journal of Experimental Marine Biology and Ecology. https://doi.org/10.1016/S0022-0981(98)00046-X"," M. S. Edwards, 1998"
128,"Edwards, R. J. (1977). Ecological profiles for selected stream-dwelling Texas freshwater fishes."," R. J. Edwards, 1977"
129,"Egan, B., & Yarish, C. (1990). Productivity and life history of Laminaria longicruris at its southern limit in the western Atlantic Ocean. Marine Ecology Progress Series. https://doi.org/10.3354/meps067263"," Egan & Yarish, 1990"
130,"El-Sayed, S. Z. (1994). Southern Ocean ecology: the BIOMASS perspective. Southern Ocean Ecology: The BIOMASS Perspective. https://doi.org/10.2307/1552075"," El-Sayed, 1994"
131,"Eldridge, M. B. (1988). Life History Strategies and Tactics of the Striped Bass (Morone saxatilis) Walbum. Oregon State University."," Eldridge, 1988"
132,"Ellender, B. R., Weyl, O. L. F., Shanyengange, M. K., & Cowley, P. D. (2008). Juvenile population dynamics of Oreochromis mossambicus in an intermittently open estuary at the limit of its natural distribution. African Zoology, 43(2), 277–283. https://doi.org/10.1080/15627020.2008.11657245"," Ellender et al., 2008"
133,"Enterline, C. L. (2013). Understanding Spawning Behavior and Habitat Use By Anadromous Rainbow Smelt (Osmerus Mordax) Using Passive Integrated Transponder Systems and Telemetry."," Enterline, 2013"
134,"Ergül, T., Özdemir, N., Gül, Ç., & Tosunoǧlu, M. (2014). Variation in body size and age structure of Stellagama stellio (L., 1758) (Reptilia: Agamidae) from Turkey. Acta Zoologica Bulgarica."," Ergül et al., 2014"
135,"Faccio, S. D. (2003). Postbreeding Emigration and Habitat Use by Jefferson and Spotted Salamanders in Vermont. Journal of Herpetology, 37(3), 479–489. https://doi.org/10.1670/155-02a"," Faccio, 2003"
136,"Fehlberg, S. D., & Ranker, T. A. (2009). Evolutionary history and phylogeography of Encelia farinosa (Asteraceae) from the Sonoran, Mojave, and Peninsular Deserts. Molecular Phylogenetics and Evolution. https://doi.org/10.1016/j.ympev.2008.11.011"," Fehlberg & Ranker, 2009"
137,"Fentress, J. A., Steele, S. L., Bart, H. L., & Cheek, A. O. (2006). Reproductive disruption in wild longear sunfish (Lepomis megalotis) exposed to kraft mill effluent. Environmental Health Perspectives. https://doi.org/10.1289/ehp.8130"," Fentress et al., 2006"
138,"Feutry, P., Valade, P., Ovenden, J. R., Lopez, P. J., & Keith, P. (2012). Pelagic larval duration of two diadromous species of Kuhliidae (Teleostei: Percoidei) from Indo-Pacific insular systems. Marine and Freshwater Research, 63(5), 397–402. https://doi.org/10.1071/MF11243"," Feutry et al., 2012"
139,"Filipović Marijić, V., & Raspor, B. (2014). Relevance of biotic parameters in the assessment of the spatial distribution of gastrointestinal metal and protein levels during spawning period of European chub (Squalius cephalus L.). Environmental Science and Pollution Research, 21(12), 7596–7606. https://doi.org/10.1007/s11356-014-2666-5"," Filipović Marijić & Raspor, 2014"
140,"Filippov, B. Y. (2006). Seasonal aspects of life cycles in the ground beetles Calathus melanocephalus and C. micropterus (Coleoptera, Carabidae) in the Northern Taiga. Zoologicheskii Zhurnal."," Filippov, 2006"
141,"Finger, A. J., & May, B. (2015). Conservation genetics of a desert fish species: the Lahontan tui chub (Siphateles bicolor ssp.). Conservation Genetics. https://doi.org/10.1007/s10592-015-0697-1"," Finger & May, 2015"
142,"Fischer, S., & Kummer, H. (2000). Effects of residual flow and habitat fragmentation on distribution and movement of bullhead (Cottus gobio L.) in an alpine stream. Hydrobiologia, 422–423, 305–317. https://doi.org/10.1007/978-94-011-4164-2_25"," Fischer & Kummer, 2000"
143,"Fitzgerald, Trumbo, Kyger, & Hudy. (2015). Dispersal and Reproduction of Relocated Blacknose Dace (Rhinichthys atratulus) in an Acid-Mitigated Southern Appalachian Headwater Stream. Journal of Appalachian Studies, 21(1), 49. https://doi.org/10.5406/jappastud.21.1.0049"," Fitzgerald et al., 2015"
144,"Flammarion, P., Fortier, V., Migeon, B., Morfin, P., & Garric, J. (1999). Cytochrome p450 1A induction in gudgeon (Gobio gobio): Laboratory and field studies. Biomarkers, 4(1), 59–71. https://doi.org/10.1080/135475099231001"," Flammarion et al., 1999"
145,"Fobes, T. M., Powell, R., Parmerlee, J. S., Lathrop, A., & Smith, D. D. (1992). Natural history of Anolis cybotes (Sauria: Polychridae) from an altered habitat in Barahona, Dominican Republic. Caribbean Journal of Science, 28(3–4), 200–207."," Fobes et al., 1992"
146,"Fortaleza, M. A., Uy, R. C. L., Elumba, M. E., & Nañola, C. L. J. (2019). Age-Growth Parameters of Crescent Grunter, Terapon jarbua (Forsskål 1775) in Mindanao, Philippines. Philippine Journal of Natural Science, 24, 42–49."," Fortaleza et al., 2019"
147,"Fredrich, F., Ohmann, S., Curio, B., & Kirschbaum, F. (2003). Spawning migrations of the chub in the River Spree, Germany. Journal of Fish Biology, 63(3), 710–723. https://doi.org/10.1046/j.1095-8649.2003.00184.x"," Fredrich et al., 2003"
148,"Fritz, E. S., Meredith, W. H., & Lotrich, V. A. (1975). Fall and winter movements and activity level of the mummichog, Fundulus heteroclitus, in a tidal creek. Chesapeake Science. https://doi.org/10.2307/1350898"," Fritz et al., 1975"
149,"Froese, R., & Pauly, D. (Eds.). (2000). FishBase 2000: concepts, designs and data source (p. 344). ICLARM."," Froese & Pauly, 2000"
150,"Funk, W. C., & Dunlap, W. W. (1999). Colonization of high-elevation lakes by long-toed salamanders (Ambystoma macrodactylum) after the extinction of introduced trout populations. Canadian Journal of Zoology, 77(11), 1759–1767. https://doi.org/10.1139/z99-160"," Funk & Dunlap, 1999"
151,"Furman, B. L. S., Scheffers, B. R., Taylor, M., Davis, C., & Paszkowski, C. A. (2016). Limited genetic structure in a wood frog (Lithobates sylvaticus) population in an urban landscape inhabiting natural and constructed wetlands. Conservation Genetics, 17(1), 19–30. https://doi.org/10.1007/s10592-015-0757-6"," Furman et al., 2016"
152,"Gahl, M. K., Calhoun, A. J. K., & Graves, R. (2009). Facultative use of seasonal pools by American bullfrogs (Rana catesbeiana). Wetlands, 29(2), 697–703. https://doi.org/10.1672/08-56.1"," Gahl et al., 2009"
153,"Gatz, A. J. (1973). Intraspecific variations in critical thermal maxima of Ambystoma maculatum. Herpetologica, 29(3), 264–268."," Gatz, 1973"
154,"Gehring, J. L., & Delph, L. F. (1999). Fine-scale genetic structure and clinal variation in Silene acaulis despite high gene flow. Heredity, 82(6). https://doi.org/10.1046/j.1365-2540.1999.00524.x"," Gehring & Delph, 1999"
155,"George, A. E., & Chapman, D. C. (2015). Embryonic and larval development and early behavior in grass carp, Ctenopharyngodon idella: Implications for recruitment in rivers. PLoS ONE, 10(3). https://doi.org/10.1371/journal.pone.0119023"," A. E. George & Chapman, 2015"
156,"George, E. M., Crabtree, D. L., Hare, M. P., Lepak, J. M., & Rudstam, L. G. (2018). Identifying research priorities for cisco in Lake Ontario: a workshop summary report."," E. M. George et al., 2018"
157,"Geraghty, M. J., Dunn, R. R., & Sanders, N. J. (2007). Body size, colony size, and range size in ants (Hymenoptera: Formicidae): are pat-terns along elevational and latitudinal gradients consistent with Bergmann’s Rule? Myrmecological News, 10, 51–58."," Geraghty et al., 2007"
158,"Gerking, S. D., & Lee, R. M. (1982). Survival and reproduction of the desert pupfish (Cyprinodon n. nevadensis) after acclimation to acid water. Journal of Experimental Zoology. https://doi.org/10.1002/jez.1402200302"," Gerking & Lee, 1982"
159,"Gibson, R. N. (1967). Studies on the Movements of Littoral Fish. The Journal of Animal Ecology. https://doi.org/10.2307/3023"," Gibson, 1967"
160,"Glanville, E. J., & Seebacher, F. (2010). Plasticity in body temperature and metabolic capacity sustains winter activity in a small endotherm (Rattus fuscipes). Comparative Biochemistry and Physiology - A Molecular and Integrative Physiology, 155(3), 383–391. https://doi.org/10.1016/j.cbpa.2009.12.008"," Glanville & Seebacher, 2010"
161,"Gleason, L. N. (1984). Population Composition and Dispersal Pattern of Pomphorhynchus bulbocolli in Hypentelium nigricans from the West Fork of Drake’s Creek, Kentucky. American Midland Naturalist, 112(2), 273. https://doi.org/10.2307/2425434"," Gleason, 1984"
162,"Glover, D. C., Dettmers, J. M., Wahl, D. H., & Clapp, D. F. (2008). Yellow perch (Perca flavescens) stock structure in Lake Michigan: An analysis using mark-recapture data. Canadian Journal of Fisheries and Aquatic Sciences, 65(9), 1919–1930. https://doi.org/10.1139/F08-100"," Glover et al., 2008"
163,"Goldberg, S. R. (1973). Ovarian Cycle of the Western Fence Lizard, Sceloporus occidentalis. Herpetologica."," Goldberg, 1973"
164,"Goldspink, C. R. (1977). The return of marked roach (Rutilus rutilus L.) to spawning grounds in Tjeukemeer, The Netherlands. Journal of Fish Biology, 11(6), 599–603. https://doi.org/10.1111/j.1095-8649.1977.tb05717.x"," Goldspink, 1977"
165,"Gonçalves, J. M. S., & Erzini, K. (2000). The reproductive biology of the two-banded sea bream (Diplodus vulgaris) from the southwest coast of Portugal. Journal of Applied Ichthyology, 16(3), 110–116. https://doi.org/10.1046/j.1439-0426.2000.00232.x"," Gonçalves & Erzini, 2000"
166,"Gonzalez-Ochoa, O. A., López-Martínez, J., & Hernández-Saavedra, N. Y. (2009). Population characteristics of spotted rose snapper Lutjanus guttatus caught as shrimp bycatch in the gulf of California. Interciencia."," Gonzalez-Ochoa et al., 2009"
167,"Gorman, G. C., & Harwood, R. (1977). Notes on Population Density, Vagility, and Activity Patterns of the Puerto Rican Grass Lizard, Anolis pulchellus (Reptilia, Lacertilia, Iguanidae). Journal of Herpetology, 11(3). https://doi.org/10.2307/1563250"," Gorman & Harwood, 1977"
168,"Gorman, G. C., & Licht, P. (1974). Seasonality in Ovarian Cycles among Tropical Anolis Lizards. Ecology, 55(2). https://doi.org/10.2307/1935223"," Gorman & Licht, 1974"
169,"Gosner, K. L. (1979). A Field Guide to the Atlantic Seashore. Invertebrates and Seaweeds of the Atlantic Coast from the Bay of Fundy to Cape Hatteras (Vol. 24). Houghton Mifflin Company. https://doi.org/10.1086/411683"," Gosner, 1979"
170,"Gratton, P., Allegrucci, G., Gallozzi, M., Fortunato, C., Ferreri, F., & Sbordoni, V. (2004). Allozyme and microsatellite genetic variation in natural samples of zebrafish, Danio rerio. Journal of Zoological Systematics and Evolutionary Research, 42(1), 54–62. https://doi.org/10.1046/j.0947-5745.2003.00240.x"," Gratton et al., 2004"
171,"Green, K., & Osborne, W. S. (1981). The diet of foxes, vulpes vulpes (l.), in relation to abundance of prey above the winter snowline in New South Wales. Wildlife Research, 8(2), 349–360. https://doi.org/10.1071/WR9810349"," Green & Osborne, 1981"
172,"Greenbank, J. (1956). Movement of Fish under the Ice. Copeia, 1956(3), 158. https://doi.org/10.2307/1439630"," Greenbank, 1956"
173,"Gregory, S., Brown, J., & Belchier, M. (2014). Ecology and distribution of the grey notothen, Lepidonotothen squamifrons, around South Georgia and Shag Rocks, Southern Ocean. Antarctic Science, 26(3), 239–249. https://doi.org/10.1017/S0954102013000667"," Gregory et al., 2014"
174,"Grove, J. S., & Lavenberg, R. J. (1997). The Fishes of the Galapagos Islands. Standford University Press. https://doi.org/10.1086/393016"," Grove & Lavenberg, 1997"
175,"Guarino, F. M., Di Già, I., & Sindaco, R. (2010). Age and growth of the sand lizards (Lacerta agilis) from a high Alpine population of north-western Italy. Acta Herpetologica, 5(1), 23–29. https://doi.org/10.13128/Acta_Herpetol-8532"," Guarino et al., 2010"
176,"Guillette, L. J., & Casas-Andreu, G. (1980). Fall Reproductive Activity in the High Altitude Mexican Lizard, Sceloporus grammicus microlepidotus. Journal of Herpetology. https://doi.org/10.2307/1563845"," Guillette & Casas-Andreu, 1980"
177,"Gupta, S. (2016). An Overview on Morphology, Biology, and Culture of Spotted Scat Scatophagus argus (Linnaeus 1766). In Reviews in Fisheries Science and Aquaculture (Vol. 24, Issue 2, pp. 203–212). https://doi.org/10.1080/23308249.2015.1119800"," Gupta, 2016"
178,"Gutsch, M., & Hoffman, J. (2016). A review of Ruffe (Gymnocephalus cernua) life history in its native versus non-native range. In Reviews in Fish Biology and Fisheries (Vol. 26, Issue 2). https://doi.org/10.1007/s11160-016-9422-5"," Gutsch & Hoffman, 2016"
179,"Guy, C. S., Neumann, R. M., & Willis, D. W. (1992). Movement patterns of adult black crappie, Pomoxis nigromaculatus, in Brant Lake, South Dakota. Journal of Freshwater Ecology, 7(2). https://doi.org/10.1080/02705060.1992.9664679"," Guy et al., 1992"
180,"H. V. Weems. (1981). Mediterranean fruit fly, Ceratitis capitata (Wiedemann)."," H. V. Weems, 1981"
181,"Hadley, E. B., & Rosen, R. B. (1974). Carbohydrate and Lipid Contents of Celmisia Plants in Alpine Snowbank and Herbfield Communities on Rock and Pillar Range, New Zealand. American Midland Naturalist. https://doi.org/10.2307/2424328"," Hadley & Rosen, 1974"
182,"Hall, W. P., & Selander, R. K. (1973). Hybridization of Karyotypically Differentiated Populations in the Sceloporus grammicus Complex (Iguanidae). Evolution. https://doi.org/10.2307/2406963"," Hall & Selander, 1973"
183,"Hamer, A. J., & Parris, K. M. (2011). Local and landscape determinants of amphibian communities in urban ponds. Ecological Applications, 21(2). https://doi.org/10.1890/10-0390.1"," Hamer & Parris, 2011"
184,"Hänfling, B., Hellemans, B., Volckaert, F. A. M., & Carvalho, G. R. (2002). Late glacial history of the cold-adapted freshwater fish Cottus gobio, revealed by microsatellites. Molecular Ecology, 11(9), 1717–1729. https://doi.org/10.1046/j.1365-294X.2002.01563.x"," Hänfling et al., 2002"
185,"Hanna, A. H., Carson, E. W., Garrett, G. P., & Gold, J. R. (2015). Conservation Genetics of Six Species of Genus Dionda (Cyprinidae) in the Southwestern United States. Monographs of the Western North American Naturalist, 8(1), 1–25. https://doi.org/10.3398/042.008.0101"," Hanna et al., 2015"
186,"Happel, A., Lafountain, J., Creque, S., Rinchard, J., Höök, T., Bootsma, H., Janssen, J., Jude, D., & Czesny, S. (2015). Spatio-temporal description of spottail shiner (Notropis hudsonius) fatty acid profiles in Lake Michigan’s southern basin. Journal of Great Lakes Research, 41, 179–184. https://doi.org/10.1016/j.jglr.2015.04.013"," Happel et al., 2015"
187,"Harvey, W. H. (1857). Synopsis of British seaweeds, compiled from Professor Harvey’s Phycologia britannica. L. Reeve. https://doi.org/10.5962/bhl.title.131343"," Harvey, 1857"
188,"Hayden, T. A., Binder, T. R., Holbrook, C. M., Vandergoot, C. S., Fielder, D. G., Cooke, S. J., Dettmers, J. M., & Krueger, C. C. (2018). Spawning site fidelity and apparent annual survival of walleye (Sander vitreus) differ between a Lake Huron and Lake Erie tributary. Ecology of Freshwater Fish, 27(1), 339–349. https://doi.org/10.1111/eff.12350"," Hayden et al., 2018"
189,"Hayes, S., Huff, D., Demer, D., Michel, C., Cutter, G. R., Demetras, N., Lehman, B., Manugian, S., & Lindley, S. (2017). Testing the effects of manipulated predator densities and environmental variables on juvenile salmonid survival in the lower San Joaquin River."," Hayes et al., 2017"
190,"Healy, W. R. (1975). Terrestrial Activity and Home Range in Efts of Notophthalmus viridescens. American Midland Naturalist, 93(1), 131. https://doi.org/10.2307/2424111"," Healy, 1975"
191,"Heermann, L., & Borcherding, J. (2006). Winter short-distance migration of juvenile fish between two floodplain water bodies of the Lower River Rhine. Ecology of Freshwater Fish, 15(2), 161–168. https://doi.org/10.1111/j.1600-0633.2006.00132.x"," Heermann & Borcherding, 2006"
192,"Heithaus, M. R., & Laushman, R. H. (1997). Genetic variation and conservation of stream fishes: Influence of ecology, life history, and water quality. Canadian Journal of Fisheries and Aquatic Sciences, 54(8), 1822–1836. https://doi.org/10.1139/f97-083"," Heithaus & Laushman, 1997"
193,"Hernández-Salinas, U., Ramírez-Bautista, A., Leyte-Manrique, A., & Smith, G. R. (2010). Reproduction and Sexual Dimorphism in Two Populations of Sceloporus grammicus (Sauria: Phrynosomatidae) from Hidalgo, Mexico. Herpetologica, 66(1), 12–22. https://doi.org/10.1655/08-053.1"," Hernández-Salinas et al., 2010"
194,Hiroyuki Nakahara. (1984). Alternation of generations of some brown algae in unialgal and axenic cultures.," Hiroyuki Nakahara, 1984"
195,"Hoare, D. J., Ruxton, G. D., Godin, J. G. J., & Krause, J. (2000). The social organization of free-ranging fish shoals. Oikos, 89(3), 546–554. https://doi.org/10.1034/j.1600-0706.2000.890314.x"," Hoare et al., 2000"
196,"Höbel, G. (2008). Notes on the natural history and habitat use of Eleutherodactylus fitzingeri (Anura: Leptodactylidae). Amphibia-Reptilia, 20(1), 65–72. https://doi.org/10.1163/156853899x00060"," Höbel, 2008"
197,"Hoff, J. G. (1985). Comparison of Daily Growth Rates of the Mummichog, Fundulus heteroclitus in Habitats of Different Salinity Regimes [College of William and Mary in Virginia]. https://doi.org/10.25773/v5-30f0-qs98"," Hoff, 1985"
198,"Hohausová, E., Lavoy, R. J., & Allen, M. S. (2010). Fish dispersal in a seasonal wetland: Influence of anthropogenic structures. Marine and Freshwater Research, 61(6), 682–694. https://doi.org/10.1071/MF09140"," Hohausová et al., 2010"
199,"Holldobler, B., & Wilson, E. O. (1990). The Ants. In Science. Belknap (Harvard University Press). https://doi.org/10.1126/science.248.4957.897"," Holldobler & Wilson, 1990"
200,"Hopkins, C. L. (1979). Reproduction in galaxias fasciatus Gray (Salmoniformes: Galaxiidae). New Zealand Journal of Marine and Freshwater Research, 13(2), 225–230. https://doi.org/10.1080/00288330.1979.9515797"," Hopkins, 1979"
201,"Hörnell-Willebrand, M., Willebrand, T., & Smith, A. A. (2014). Seasonal movements and dispersal patterns: Implications for recruitment and management of willow ptarmigan (Lagopus lagopus). Journal of Wildlife Management, 78(2). https://doi.org/10.1002/jwmg.650"," Hörnell-Willebrand et al., 2014"
202,"Howland, J. M. (1992). Life History of Cophosaurus texanus (Sauria: Iguanidae): Environmental Correlates and Interpopulational Variation. Copeia, 1992(1), 82. https://doi.org/10.2307/1446538"," Howland, 1992"
203,"Huang, W.-S. (1998). Reproductive Cycles of the Grass Lizard, Takydromus hsuehshanensis, with Comments on Reproductive Patterns of Lizards from the Central High Elevation Area of Taiwan. Copeia, 1998(4), 866. https://doi.org/10.2307/1447333"," Huang, 1998"
204,"Hubert, W. A., & Lackey, R. T. (1980). Habitat of Adult Smallmouth Bass in a Tennessee River Reservoir. Transactions of the American Fisheries Society, 109(4). https://doi.org/10.1577/1548-8659(1980)109<364:hoasbi>2.0.co;2"," Hubert & Lackey, 1980"
205,"Huenemann, T. W., Steffensen, K. D., Mestl, G., Shuman, D. A., & Stukel, S. (2015). The Status of Fishes in the Missouri River, Nebraska: Emerald Shiner (Notropis atherinoides), Red Shiner (Cyprinella lutrensis), River Shiner (N. blennius), Sand Shiner (N. stramineus), Spotfin Shiner (C. spiloptera). Transactions of the Nebraska Academy of Sciences, 35, 15–33."," Huenemann et al., 2015"
206,"Hutchison, V. H. (1958). The Distribution and Ecology of the Cave Salamander, Eurycea lucifuga. Ecological Monographs, 28(1), 1–20. https://doi.org/10.2307/1942273"," Hutchison, 1958"
207,"Huyghe, K., Herrel, A., Vanhooydonck, B., Meyers, J. J., & Irschick, D. J. (2007). Microhabitat use, diet, and performance data on the Hispaniolan twig anole, Anolis sheplani: Pushing the boundaries of morphospace. Zoology, 110(1), 2–8. https://doi.org/10.1016/j.zool.2006.06.001"," Huyghe et al., 2007"
208,"Ibrahim, A. A., & El-Naggar, M. H. (2013). Diet and reproductive biology of the Starred Agama, Laudakia stellio (Linnaeus, 1758) (Squamata: Agamidae), in the northern Sinai, Egypt. Zoology in the Middle East, 59(2). https://doi.org/10.1080/09397140.2013.810875"," Ibrahim & El-Naggar, 2013"
209,"Iturra-Cid, M., Vidal, M., Labra, A., & Ortiz, J. C. (2014). Thermal Ecology Of Pleurodema thaul (Amphibia: Leptodactylidae). Gayana (Concepción). https://doi.org/10.4067/s0717-65382014000100004","Iturra-Cid et al., 2014"
210,IUCN. (2020). The IUCN Red List of Threatened Species. http://www.iucnredlist.org,"IUCN, 2020"
211,"Jacquemin, S. J., Martin, E., & Pyron, M. (2013). Morphology of Bluntnose Minnow Pimephales Notatus (Cyprinidae) Covaries with Habitat in a Central Indiana Watershed. The American Midland Naturalist, 169(1), 137–146. https://doi.org/10.1674/0003-0031-169.1.137"," Jacquemin et al., 2013"
212,"Jain, S. K. (1976). Patterns of Survival and Microevolution in Plant Populations. In Population Genetics and Ecology. https://doi.org/10.1016/b978-0-12-398560-6.50008-0"," Jain, 1976"
213,"Jameson, D. L. (1957). Population Structure and Homing Responses in the Pacific Tree Frog. Copeia. https://doi.org/10.2307/1439361"," Jameson, 1957"
214,"Jeffries, D. L., Copp, G. H., Handley, L. L., Håkan Olsén, K., Sayer, C. D., & Hänfling, B. (2016). Comparing RADseq and microsatellites to infer complex phylogeographic patterns, an empirical perspective in the Crucian carp, Carassius carassius, L. Molecular Ecology, 25(13), 2997–3018. https://doi.org/10.1111/mec.13613"," Jeffries et al., 2016"
215,"Jennings, M. J., Hatzenbeler, G. R., & Kampa, J. M. (2011). Spring capture site fidelity of adult muskellunge in inland lakes. North American Journal of Fisheries Management, 31(3), 461–467. https://doi.org/10.1080/02755947.2011.590118"," Jennings et al., 2011"
216,"Jensen, A. J., Diserud, O. H., Finstad, B., Fiske, P., & Rikardsen, A. H. (2015). Between-watershed movements of two anadromous salmonids in the Arctic. Canadian Journal of Fisheries and Aquatic Sciences, 72(6). https://doi.org/10.1139/cjfas-2015-0015"," Jensen et al., 2015"
217,"Jesus, J. (2012). Evidence of high longevity in an Island lacertid, Teira dugesii (Milne-Edwards, 1829). first data on wild specimens. Acta Herpetologica, 7(2). https://doi.org/10.13128/Acta_Herpetol-10680"," Jesus, 2012"
218,"Jilek, R., Cassell, B., Peace, D., Garza, Y., Riley, L., & Siewart, T. (1979). Spawning population dynamics of smelt, Osmerus mordax. Journal of Fish Biology, 15(1), 31–35. https://doi.org/10.1111/j.1095-8649.1979.tb03570.x"," Jilek et al., 1979"
219,"Jiménez-Cruz, E., Ramírez-Bautista, A., Marshall, J. C., Lizana-Avia, M., & Nieto-Montes De Oca, A. (2005). Reproductive cycle of Sceloporus grammicus (Squamata: Phrynosomatidae) from Teothicán, México. The Southwestern Naturalist. https://doi.org/10.1894/0038-4909(2005)050[0178:rcosgs]2.0.co;2"," Jiménez-Cruz et al., 2005"
220,"Johansson, H., Surget-Groba, Y., & Thorpe, R. S. (2008). Microsatellite data show evidence for male-biased dispersal in the Caribbean lizard Anolis roquet. Molecular Ecology, 17(20), 4425–4432. https://doi.org/10.1111/j.1365-294X.2008.03923.x"," Johansson et al., 2008"
221,"Johnson, J. E., & Goldberg, A. S. (1975). Movement of Larval Two Lined Salamanders (Eurycea bislineata) in the Mill River, Massachusetts. Copeia, 1975(3), 588. https://doi.org/10.2307/1443669"," J. E. Johnson & Goldberg, 1975"
222,"Johnson, M. A., & Wade, J. (2010). Behavioural display systems across nine Anolis lizard species: Sexual dimorphisms in structure and function. Proceedings of the Royal Society B: Biological Sciences, 277(1688), 1711–1719. https://doi.org/10.1098/rspb.2009.2323"," M. A. Johnson & Wade, 2010"
