"intratherm_id","genus_species","phylum","class","order","family","extractor","ref","original_compilation","population_id","acclim_temp","latitude","longitude","coordinates_source","genus_from_study","species_from_study","location_description","acclim_time","parameter_value","parameter_tmax_or_tmin","error_estimate","error_type","sample_size","metric_type","metric_description","ramping_rate","ramping_to_reach_st","duration_of_chronic_exposure","temp_before_pretreament_held_or_ff_for_field_fresh","timing_of_collection","elevation_of_collection","life_stage.x","notes.x","record_number","record","realm_general2","acclim_time_original","acclim_time_units","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering","logic_source_for_dispersal_distance2","Notes","genus","species","age_maturity_days_female","age_maturity_days_female_reference","age_maturity_days_male","age_maturity_days_male_reference","age_maturity.days_unknown_sex","dispersal_distance_category","logic_source_for_dispersal_distance","maximum_body_size_svl_hbl_cm","source_for_maximum_body_size","average_body_size_female","average_body_size_female_reference","average_body_size_male","average_body_size_male_reference","average_body_size_unknown_sex","season_inactive","logic_source_for_season_inactive","migratory","source_logic_for_migration_info","season_when_away_10km","season_when_away_100km","logic_source_season_when_away","Home.range.size_Km2","logic.source_for_Home.range.size","data_gatherer","lifespan_days","lifespan_days_reference","is.nocturnal","is.nocturnal_source","mean_yearly_max_temp","experienced_mean_yearly_max_temp"
1021,"Gambusia affinis","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae",NA,"Hart 1952","Comte","Gambusia affinis_29.48_NA_-81.68",15,29.48,-81.68,"","Gambusia","affinis","Welaka Florida US",NA,35.4,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Gambusia","affinis","90","De Magalhães & Costa, 2009","90","De Magalhães & Costa, 2009","","0-1","Pyke, 2005;Froese & Pauly, 2000",5.1,"Froese & Pauly, 2000","3.9","Froese & Pauly, 2000","3.9","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000;IUCN, 2020",NA,NA,31.9100981278853,31.9100981278853
1024,"Gambusia affinis","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae",NA,"Otto 1973","Comte","Gambusia affinis_33_NA_-109.9",5,33,-109.9,"","Gambusia","affinis","Indian Hot Springs Arizona US",30,32.04,"tmax",NA,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","30","days",NA,NA,NA,"Gambusia","affinis","90","De Magalhães & Costa, 2009","90","De Magalhães & Costa, 2009","","0-1","Pyke, 2005;Froese & Pauly, 2000",5.1,"Froese & Pauly, 2000","3.9","Froese & Pauly, 2000","3.9","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000;IUCN, 2020",NA,NA,24.8861085371538,24.8861085371538
1038,"Gambusia affinis","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae",NA,"Lutterschmidt & Hutchinson 1997","Comte","Gambusia affinis_35.66_NA_-97.47",10,35.66,-97.47,"","Gambusia","affinis","Central Oklahoma US",14,36.88,"tmax",0.72,"SD",20,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Gambusia","affinis","90","De Magalhães & Costa, 2009","90","De Magalhães & Costa, 2009","","0-1","Pyke, 2005;Froese & Pauly, 2000",5.1,"Froese & Pauly, 2000","3.9","Froese & Pauly, 2000","3.9","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000;IUCN, 2020",NA,NA,28.2693670099432,28.2693670099432
1040,"Gambusia affinis","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae",NA,"Hart 1952","Comte","Gambusia affinis_35.96_NA_-83.92",30,35.96,-83.92,"","Gambusia","affinis","Knoxville Tenesee US",NA,37.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Gambusia","affinis","90","De Magalhães & Costa, 2009","90","De Magalhães & Costa, 2009","","0-1","Pyke, 2005;Froese & Pauly, 2000",5.1,"Froese & Pauly, 2000","3.9","Froese & Pauly, 2000","3.9","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000;IUCN, 2020",NA,NA,23.5405677101829,23.5405677101829
1041,"Gambusia affinis","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae",NA,"Otto 1973","Comte","Gambusia affinis_40.76_NA_-111.92",5,40.76,-111.92,"","Gambusia","affinis","Salt Lake City Utah US",30,29.48,"tmax",NA,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","30","days",NA,NA,NA,"Gambusia","affinis","90","De Magalhães & Costa, 2009","90","De Magalhães & Costa, 2009","","0-1","Pyke, 2005;Froese & Pauly, 2000",5.1,"Froese & Pauly, 2000","3.9","Froese & Pauly, 2000","3.9","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","1095","Froese & Pauly, 2000;IUCN, 2020",NA,NA,25.5505240700462,25.5505240700462
1073,"Gasterosteus aculeatus","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae",NA,"Horoszewicz 1973","Comte","Gasterosteus aculeatus_52.34_NA_18.35",26.2,52.34,18.35,"","Gasterosteus","aculeatus","Lichenskie Lake Poland",NA,34.4,"tmax",0.21,"SD",50,"lethal","death","0.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Gasterosteus","aculeatus","365","IUCN, 2020","365","IUCN, 2020","Y","0-1","Ward et al., 2013;Saimoto, 1993;E. B. Taylor & McPhail, 1986",11,"Froese & Pauly, 2000","5.1","Froese & Pauly, 2000","5.1","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","Mar-Apr","Mar-Apr","","unk","","Jenn/Nikki","2920","Froese & Pauly, 2000",NA,NA,21.0566497802734,21.0566497802734
1104,"Gobio gobio","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Horoszewicz 1973","Comte","Gobio gobio_52.34_NA_18.35",25.5,52.34,18.35,"","Gobio","gobio","Lichenskie Lake Poland",NA,36.7,"tmax",0.33,"SD",20,"lethal","death","0.11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Gobio","gobio","365","IUCN, 2020","365","IUCN, 2020","Y","0-1","Stott, 1967",21,"Froese & Pauly, 2000","12","Froese & Pauly, 2000","12","Froese & Pauly, 2000","Y","","","non-migratory","Flammarion et al., 1999",NA,NA,"","0.84","Stott, 1967;Stott, 1967","Nikki","1825","IUCN, 2020",NA,NA,21.0566497802734,21.0566497802734
1130,"Gymnocharacinus bergii","Chordata","Teleostei","Characiformes","Characidae",NA,"Ortubay et al. 1997","Comte","Gymnocharacinus bergii_-40.93_NA_-66.57",20,-40.93,-66.57,"","Gymnocharacinus","bergii","Zoilo Chico Argentina",NA,36.2,"tmax",2.47,"SD",6,"lethal","death","0.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Gymnocharacinus","bergii","365","Cussac & Ortubay, 2002","365","Cussac & Ortubay, 2002","Y","0-1","IUCN, 2020;Cussac & Ortubay, 2002",7.5,"Froese & Pauly, 2000","","","","","","","","non-migratory","IUCN, 2020",NA,NA,"","0.5","IUCN, 2020","Nikki","2190","Cussac & Ortubay, 2002",NA,NA,26.4592217185281,26.4592217185281
1143,"Heterandria formosa","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae",NA,"Doyle et al. 2011","Comte","Heterandria formosa_29.87_NA_-91.43",29,29.87,-91.43,"","Heterandria","formosa","Atchafalaya Basin Saint Martin Parish Louisiana US",7,38.29,"tmax",0.22,"SD",19,"lethal","death","0.0014",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Heterandria","formosa","44","Ala-Honkola et al., 2011","95","Ala-Honkola et al., 2011","","100+","Baer, 1998;Leips et al., 2013",3.6,"Froese & Pauly, 2000","2.1","Froese & Pauly, 2000","2.1","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","120","Soucy & Travis, 2003",NA,NA,32.4658447265625,32.4658447265625
1145,"Heterandria formosa","Chordata","Teleostei","Cyprinodontiformes","Poeciliidae",NA,"Doyle et al. 2011","Comte","Heterandria formosa_29.97_NA_-92.87",28,29.97,-92.87,"","Heterandria","formosa","Lacassine Cameroun Parish Louisiana US",7,38.27,"tmax",0.33,"SD",39,"lethal","death","0.0014",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","7","days",NA,NA,NA,"Heterandria","formosa","44","Ala-Honkola et al., 2011","95","Ala-Honkola et al., 2011","","100+","Baer, 1998;Leips et al., 2013",3.6,"Froese & Pauly, 2000","2.1","Froese & Pauly, 2000","2.1","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","120","Soucy & Travis, 2003",NA,NA,29.4434143066406,29.4434143066406
1147,"Hybognathus placitus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Ostrand & Wilde 2001","Comte","Hybognathus placitus_33.03_NA_-101.12",30,33.03,-101.12,"","Hybognathus","placitus","Salt Fork Garza County Texas US",14,39.7,"tmax",0.7,"SD",NA,"critical","LOE","0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Hybognathus","placitus","365","C. M. Taylor & Miller, 1990","365","C. M. Taylor & Miller, 1990","Y","100+","Osterhaus & Martin, 2019",13,"Froese & Pauly, 2000","7","Froese & Pauly, 2000","7","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","730","C. M. Taylor & Miller, 1990",NA,NA,23.1090817538175,23.1090817538175
1148,"Hybognathus placitus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Matthews & Maness 1979","Comte","Hybognathus placitus_34.86_NA_-96.73",25,34.86,-96.73,"","Hybognathus","placitus","South Canadian River",14,39.95,"tmax",0.07,"SD",2,"critical","OS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Hybognathus","placitus","365","C. M. Taylor & Miller, 1990","365","C. M. Taylor & Miller, 1990","Y","100+","Osterhaus & Martin, 2019",13,"Froese & Pauly, 2000","7","Froese & Pauly, 2000","7","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","730","C. M. Taylor & Miller, 1990",NA,NA,30.3174779718573,30.3174779718573
1149,"Hybognathus placitus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Lutterschmidt & Hutchinson 1997","Comte","Hybognathus placitus_35.66_NA_-97.47",10,35.66,-97.47,"","Hybognathus","placitus","Central Oklahoma US",14,28.37,"tmax",1.26,"SD",26,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Hybognathus","placitus","365","C. M. Taylor & Miller, 1990","365","C. M. Taylor & Miller, 1990","Y","100+","Osterhaus & Martin, 2019",13,"Froese & Pauly, 2000","7","Froese & Pauly, 2000","7","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","730","C. M. Taylor & Miller, 1990",NA,NA,28.2693670099432,28.2693670099432
1157,"Hypentelium nigricans","Chordata","Teleostei","Cypriniformes","Catostomidae",NA,"Kowaski et al. 1978","Comte","Hypentelium nigricans_42.6_NA_-78.47",15,42.6,-78.47,"","Hypentelium","nigricans","Buffalo Creek, Erie County, New York, United States",28,30.8,"tmax",1.34,"SD",9,"critical","OS","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","28","days",NA,NA,NA,"Hypentelium","nigricans","1095","NatureServe, 2020","730","NatureServe, 2020","","0-1","Gleason, 1984;Raney & Lachner, 1946",61,"Froese & Pauly, 2000","29.8","Froese & Pauly, 2000","29.8","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.013","Gleason, 1984","Nikki","4015","O’Kelley & Powers, 2007",NA,NA,20.8822355790572,20.8822355790572
1176,"Hypophthalmichthys nobilis","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Sheng & Xu 2008","Comte","Hypophthalmichthys nobilis_26.47_NA_99.15",10,26.47,99.15,"","Hypophthalmichthys","nobilis","Dahuofang reservoir Yingpan China",NA,28.4,"tmax",NA,"SD",NA,"lethal","death","0.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Hypophthalmichthys","nobilis","1825","IUCN, 2020","1825","IUCN, 2020","Y","100+","L. M. Peters et al., 2006",146,"Froese & Pauly, 2000","60","Froese & Pauly, 2000","60","Froese & Pauly, 2000","Y","","","migratory","IUCN, 2020","Spring-Summer","Spring-Summer","L. M. Peters et al., 2006;Froese & Pauly, 2000","unk","","Nikki","7300","Froese & Pauly, 2000",NA,NA,7.88559251265095,6.5688020185991
1194,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Stewart & Allen 2014","Comte","Ictalurus punctatus_29.21_NA_-89.28",30,29.21,-89.28,"","Ictalurus","punctatus","Mississippi Delta Mississipi US",30,39.08,"tmax",0.22,"SD",30,"critical","LOE","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","30","days",NA,NA,NA,"Ictalurus","punctatus","730","Froese & Pauly, 2000","730","Froese & Pauly, 2000","Y","100+","Welker, 1967;NatureServe, 2020",132,"Froese & Pauly, 2000","57","Froese & Pauly, 2000","57","Froese & Pauly, 2000","Y","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000",NA,NA,27.1091469504617,27.1091469504617
1195,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Hart 1952","Comte","Ictalurus punctatus_29.48_NA_-81.68",15,29.48,-81.68,"","Ictalurus","punctatus","Welaka Florida US",NA,30.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ictalurus","punctatus","730","Froese & Pauly, 2000","730","Froese & Pauly, 2000","Y","100+","Welker, 1967;NatureServe, 2020",132,"Froese & Pauly, 2000","57","Froese & Pauly, 2000","57","Froese & Pauly, 2000","Y","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000",NA,NA,31.9100981278853,31.9100981278853
1210,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Lutterschmidt & Hutchinson 1997","Comte","Ictalurus punctatus_35.66_NA_-97.47",10,35.66,-97.47,"","Ictalurus","punctatus","Central Oklahoma US",14,31.32,"tmax",0.83,"SD",20,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Ictalurus","punctatus","730","Froese & Pauly, 2000","730","Froese & Pauly, 2000","Y","100+","Welker, 1967;NatureServe, 2020",132,"Froese & Pauly, 2000","57","Froese & Pauly, 2000","57","Froese & Pauly, 2000","Y","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000",NA,NA,28.2693670099432,28.2693670099432
1219,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Hart 1952","Comte","Ictalurus punctatus_41.65_NA_-82.83",20,41.65,-82.83,"","Ictalurus","punctatus","Put-in Bay Ohio US",NA,32.7,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Ictalurus","punctatus","730","Froese & Pauly, 2000","730","Froese & Pauly, 2000","Y","100+","Welker, 1967;NatureServe, 2020",132,"Froese & Pauly, 2000","57","Froese & Pauly, 2000","57","Froese & Pauly, 2000","Y","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000",NA,NA,24.8923674149947,24.8923674149947
1223,"Ictalurus punctatus","Chordata","Teleostei","Siluriformes","Ictaluridae",NA,"Stewart & Allen 2014","Comte","Ictalurus punctatus_47.99_NA_-97.06",30,47.99,-97.06,"","Ictalurus","punctatus","Red River North Dakota US",30,39.23,"tmax",0.23,"SD",30,"critical","LOE","0.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","30","days",NA,NA,NA,"Ictalurus","punctatus","730","Froese & Pauly, 2000","730","Froese & Pauly, 2000","Y","100+","Welker, 1967;NatureServe, 2020",132,"Froese & Pauly, 2000","57","Froese & Pauly, 2000","57","Froese & Pauly, 2000","Y","","Cooke & McKinley, 1999","non-migratory","IUCN, 2020",NA,NA,"","kunk","Meyers et al., 2015","Nikki","8760","Meyers et al., 2015;Froese & Pauly, 2000",NA,NA,17.460805164684,17.460805164684
1274,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Burrows & Butler 2012","Comte","Lates calcarifer_-12.83_NA_132.86",28,-12.83,132.86,"","Lates","calcarifer","Northern Australia",14,41.1,"tmax",0.5,"SD",15,"critical","LOE","0.14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,"hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer","730","Meyers et al., 2015;Froese & Pauly, 2000","730","Meyers et al., 2015","","10-100","D. J. Russell & Garrett, 1988;Chenoweth et al., 1998;Moore & Reynold, 1982",200,"Froese & Pauly, 2000","","","","","","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","unk","","Nikki","7300","Balston, 2009",NA,NA,28.5116391268644,27.7244271018288
1282,"Lates calcarifer","Chordata","Teleostei","Perciformes","Centropomidae",NA,"Rajaguru 2002","Comte","Lates calcarifer_11.49_NA_79.76",28,11.49,79.76,"","Lates","calcarifer","Vellar Brackish Tamil Nadu India",NA,39.5,"tmax",0.19,"SD",10,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,"hermaphroditic - male changes to female over a week after 5+ 3-5 or 6-8 years (https://animaldiversity.org/accounts/Lates_calcarifer/)","Lates","calcarifer","730","Meyers et al., 2015;Froese & Pauly, 2000","730","Meyers et al., 2015","","10-100","D. J. Russell & Garrett, 1988;Chenoweth et al., 1998;Moore & Reynold, 1982",200,"Froese & Pauly, 2000","","","","","","","","migratory","IUCN, 2020","Oct-Feb","Oct-Feb","Moore & Reynold, 1982;Meyers et al., 2015","unk","","Nikki","7300","Balston, 2009",NA,NA,34.0238628040661,34.0238628040661
1288,"Lepomis cyanellus","Chordata","Teleostei","Perciformes","Centrarchidae",NA,"Lutterschmidt & Hutchinson 1997","Comte","Lepomis cyanellus_35.66_NA_-97.47",10,35.66,-97.47,"","Lepomis","cyanellus","Central Oklahoma US",14,31.09,"tmax",1.45,"SD",15,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Lepomis","cyanellus","1095","Meyers et al., 2015","1095","NatureServe, 2020","Y","0-1","Smithson & Johnston, 1999",31,"Froese & Pauly, 2000","20","Froese & Pauly, 2000","20","Froese & Pauly, 2000","Y","","","non-migratory","NatureServe, 2020",NA,NA,"","0.00139","Berra & Gunning, 1973","Sarah/Nikki","3285","De Magalhães & Costa, 2009",NA,NA,28.2693670099432,28.2693670099432
1290,"Lepomis cyanellus","Chordata","Teleostei","Perciformes","Centrarchidae",NA,"Beitinger et al. 2000","Comte","Lepomis cyanellus_38.16_NA_-81.2",26,38.16,-81.2,"","Lepomis","cyanellus","New River drainage US",NA,37.9,"tmax",0.75,"SD",8,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Lepomis","cyanellus","1095","Meyers et al., 2015","1095","NatureServe, 2020","Y","0-1","Smithson & Johnston, 1999",31,"Froese & Pauly, 2000","20","Froese & Pauly, 2000","20","Froese & Pauly, 2000","Y","","","non-migratory","NatureServe, 2020",NA,NA,"","0.00139","Berra & Gunning, 1973","Sarah/Nikki","3285","De Magalhães & Costa, 2009",NA,NA,21.7493003151634,21.7493003151634
1300,"Lepomis gibbosus","Chordata","Teleostei","Perciformes","Centrarchidae",NA,"Becker & Genoway 1979","Comte","Lepomis gibbosus_47.37_NA_-120.26",10,47.37,-120.26,"","Lepomis","gibbosus","Washington state US",14,31.61,"tmax",NA,"SD",24,"lethal","death","0.02",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Lepomis","gibbosus","730","Meyers et al., 2015","730","W. B. Scott & Crossman, 1973","","0-1","McCairns & Fox, 2004",40,"Froese & Pauly, 2000","9.9","Froese & Pauly, 2000","9.9","Froese & Pauly, 2000","Y","","","non-migratory","NatureServe, 2020",NA,NA,"","1-3","McCairns & Fox, 2004","Sarah/Nikki","4380","Eakins, 2020b",NA,NA,17.5882687655362,17.5882687655362
1388,"Lepomis megalotis","Chordata","Teleostei","Perciformes","Centrarchidae",NA,"Lutterschmidt & Hutchinson 1997","Comte","Lepomis megalotis_35.66_NA_-97.47",10,35.66,-97.47,"","Lepomis","megalotis","Central Oklahoma US",14,30.87,"tmax",1.62,"SD",59,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater","14","days",NA,NA,NA,"Lepomis","megalotis","1095","https://www.dec.ny.gov/docs/wildlife_pdf/lesunfishrpt.pdf","1095","https://www.dec.ny.gov/docs/wildlife_pdf/lesunfishrpt.pdf","Y","0-1","Smithson & Johnston, 1999",24,"Froese & Pauly, 2000","11.5","Froese & Pauly, 2000","11.5","Froese & Pauly, 2000","Y","","","non-migratory","Fentress et al., 2006",NA,NA,"","0.00139-0.012","Berra & Gunning, 1973","Sarah/Nikki","2190","Meyers et al., 2015;De Magalhães & Costa, 2009",NA,NA,28.2693670099432,28.2693670099432
1394,"Lepomis megalotis","Chordata","Teleostei","Perciformes","Centrarchidae",NA,"Beitinger et al. 2000","Comte","Lepomis megalotis_38.524_NA_-92.472",26,38.524,-92.472,"inferred","Lepomis","megalotis","centroid of Lamine River,  Gasconade River, Missouri, United States",NA,37.8,"tmax",0.84,"SD",12,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Lepomis","megalotis","1095","https://www.dec.ny.gov/docs/wildlife_pdf/lesunfishrpt.pdf","1095","https://www.dec.ny.gov/docs/wildlife_pdf/lesunfishrpt.pdf","Y","0-1","Smithson & Johnston, 1999",24,"Froese & Pauly, 2000","11.5","Froese & Pauly, 2000","11.5","Froese & Pauly, 2000","Y","","","non-migratory","Fentress et al., 2006",NA,NA,"","0.00139-0.012","Berra & Gunning, 1973","Sarah/Nikki","2190","Meyers et al., 2015;De Magalhães & Costa, 2009",NA,NA,22.9367011330345,22.9367011330345
1682,"Luxilus chrysocephalus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Mundahl 1990","Comte","Luxilus chrysocephalus_39.97_NA_-82.81",24,39.97,-82.81,"","Luxilus","chrysocephalus","Indian Creek Ohio US",NA,36.2,"tmax",1,"SD",6,"critical","LOE","0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Luxilus","chrysocephalus","730","Eakins, 2020c","730","Eakins, 2020c","Y","0-1","Lonzarich et al., 2000",24,"Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.00817","Lonzarich et al., 2000","Nikki","2190","Simmons & Beckman, 2012",NA,NA,20.6581103238193,20.6581103238193
1683,"Luxilus chrysocephalus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Beitinger et al. 2000","Comte","Luxilus chrysocephalus_38.189801_NA_-91.908238",26,38.189801,-91.908238,"inferred","Luxilus","chrysocephalus","Gasconade River, Missouri, United States",NA,36.2,"tmax",0.48,"SD",8,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Luxilus","chrysocephalus","730","Eakins, 2020c","730","Eakins, 2020c","Y","0-1","Lonzarich et al., 2000",24,"Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.00817","Lonzarich et al., 2000","Nikki","2190","Simmons & Beckman, 2012",NA,NA,29.1581956343217,29.1581956343217
1684,"Luxilus chrysocephalus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Beitinger et al. 2000","Comte","Luxilus chrysocephalus_39.490383_NA_-84.325019",11,39.490383,-84.325019,"inferred","Luxilus","chrysocephalus","Dicks Creek, Middletown and Excello, Ohio, United States",NA,30.8,"tmax",1.8,"SD",8,"critical","LOE","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Luxilus","chrysocephalus","730","Eakins, 2020c","730","Eakins, 2020c","Y","0-1","Lonzarich et al., 2000",24,"Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","0.00817","Lonzarich et al., 2000","Nikki","2190","Simmons & Beckman, 2012",NA,NA,23.4595587990501,23.4595587990501
1685,"Luxilus cornutus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Hart 1952","Comte","Luxilus cornutus_35.96_NA_-83.92",25,35.96,-83.92,"","Luxilus","cornutus","Knoxville Tenesee US",NA,32.3,"tmax",NA,"SD",NA,"lethal","death",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Luxilus","cornutus","730","Wichert & Rapport, 1998","730","Wichert & Rapport, 1998","Y","unk","",18,"Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","2190","Froese & Pauly, 2000",NA,NA,23.5405677101829,23.5405677101829
1686,"Luxilus cornutus","Chordata","Teleostei","Cypriniformes","Cyprinidae",NA,"Beitinger et al. 2000","Comte","Luxilus cornutus_38.32_NA_-92.54",26,38.32,-92.54,"","Luxilus","cornutus","Missouri US",NA,35.7,"tmax",0.39,"SD",18,"critical","LOE","0.017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freshwater",NA,"days",NA,NA,NA,"Luxilus","cornutus","730","Wichert & Rapport, 1998","730","Wichert & Rapport, 1998","Y","unk","",18,"Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","8.3","Froese & Pauly, 2000","Y","","","non-migratory","IUCN, 2020",NA,NA,"","unk","","Nikki","2190","Froese & Pauly, 2000",NA,NA,25.0811345880682,25.0811345880682
