Species,Body_size,body_size_metric,body_size_unit,Weight,body_size_ref,Dispersal_category,Dispersal_ref,Fecundity,Longevity,BodyShapeI,AnaCat
,7.2,TL,cm,NA,Fishbase,,Fishbase,83,4,elongated,NA
,7.2,TL,cm,NA,Fishbase,,Fishbase,164,4,elongated,NA
,7.2,TL,cm,NA,Fishbase,,Fishbase,1248,4,elongated,NA
,7.2,TL,cm,NA,Fishbase,,Fishbase,691,4,elongated,NA
,7.2,TL,cm,NA,Fishbase,,Fishbase,650,4,elongated,NA
,7.2,TL,cm,NA,Fishbase,,Fishbase,200,NA,elongated,NA
,7.2,TL,cm,NA,Fishbase,,Fishbase,2070,NA,elongated,NA
,7.2,TL,cm,NA,Fishbase,,Fishbase,200,NA,elongated,NA
,25,TL,cm,400,Fishbase,benthic devepment and swimming adults,Fishbase,200000,10,fusiform / normal,potamodromous
,25,TL,cm,400,Fishbase,benthic devepment and swimming adults,Fishbase,150000,10,fusiform / normal,potamodromous
,25,TL,cm,400,Fishbase,benthic devepment and swimming adults,Fishbase,NA,10,fusiform / normal,potamodromous
,50,TL,cm,1910,Fishbase,pelagic development,Fishbase,61465,11,fusiform / normal,NA
,50,TL,cm,1910,Fishbase,pelagic development,Fishbase,109000,11,fusiform / normal,NA
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,300000,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,20000,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,11913,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,200,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,68858,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,28488,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,33500,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,25900,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,19944,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,NA,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,68498,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,74124,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,19000,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,84240,22,fusiform / normal,anadromous
,60,SL,cm,4750,Fishbase,benthic devepment and swimming adults,Fishbase,45000,22,fusiform / normal,anadromous
,107,FL,cm,11340,Fishbase,pelagic development,Fishbase,612000,29,elongated,potamodromous
,107,FL,cm,11340,Fishbase,pelagic development,Fishbase,227138,29,elongated,potamodromous
,107,FL,cm,11340,Fishbase,pelagic development,Fishbase,53009,29,elongated,potamodromous
,5.1,TL,cm,NA,Fishbase,,Fishbase,60,3,fusiform / normal,potamodromous
,5.1,TL,cm,NA,Fishbase,,Fishbase,128,3,fusiform / normal,potamodromous
,5.1,TL,cm,NA,Fishbase,,Fishbase,107,3,fusiform / normal,potamodromous
,5.1,TL,cm,NA,Fishbase,,Fishbase,146,3,fusiform / normal,potamodromous
,3.6,TL,cm,NA,Fishbase,,Fishbase,7,NA,fusiform / normal,non-migratory
,11,SL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,non-migratory
,22.9,TL,cm,200,Fishbase,,Fishbase,NA,NA,short and / or deep,non-migratory
,8.6,FL,cm,NA,Fishbase,,Fishbase,NA,NA,elongated,anadromous
,57,TL,cm,3350,Fishbase,,Fishbase,24549,11,elongated,anadromous
,100,TL,cm,19000,Fishbase,,Fishbase,NA,50,fusiform / normal,anadromous
,99,TL,cm,18600,Fishbase,,Fishbase,4420,10,fusiform / normal,anadromous
,99,TL,cm,18600,Fishbase,,Fishbase,6500,10,fusiform / normal,anadromous
,99,TL,cm,18600,Fishbase,,Fishbase,459,10,fusiform / normal,anadromous
,107.95,TL,cm,15170,Fishbase,benthic devepment and swimming adults,Fishbase,3807,5,fusiform / normal,anadromous
,107.95,TL,cm,15170,Fishbase,benthic devepment and swimming adults,Fishbase,5700,5,fusiform / normal,anadromous
,107.95,TL,cm,15170,Fishbase,benthic devepment and swimming adults,Fishbase,5700,5,fusiform / normal,anadromous
,122,TL,cm,25400,Fishbase,benthic devepment and swimming adults,Fishbase,12749,11,fusiform / normal,anadromous
,122,TL,cm,25400,Fishbase,benthic devepment and swimming adults,Fishbase,3800,11,fusiform / normal,anadromous
,122,TL,cm,25400,Fishbase,benthic devepment and swimming adults,Fishbase,NA,11,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,10000,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,1340,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,996,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,572,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,1250,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,1500,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,589,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,38,fusiform / normal,anadromous
,140,SL,cm,50000,Fishbase,benthic devepment and swimming adults,Fishbase,3778,38,fusiform / normal,anadromous
,107,TL,cm,15000,Fishbase,,Fishbase,NA,40,fusiform / normal,anadromous
,107,TL,cm,15000,Fishbase,,Fishbase,600,40,fusiform / normal,anadromous
,107,TL,cm,15000,Fishbase,,Fishbase,6000,40,fusiform / normal,anadromous
,107,TL,cm,15000,Fishbase,,Fishbase,NA,40,fusiform / normal,anadromous
,107,TL,cm,15000,Fishbase,,Fishbase,NA,40,fusiform / normal,anadromous
,107,TL,cm,15000,Fishbase,,Fishbase,8065,40,fusiform / normal,anadromous
,86,SL,cm,8000,Fishbase,benthic devepment and swimming adults,Fishbase,5000,24,fusiform / normal,anadromous
,86,SL,cm,8000,Fishbase,benthic devepment and swimming adults,Fishbase,NA,24,fusiform / normal,anadromous
,150,TL,cm,32650,Fishbase,,Fishbase,NA,50,fusiform / normal,non-migratory
,150,TL,cm,32650,Fishbase,,Fishbase,6000,50,fusiform / normal,non-migratory
,150,TL,cm,32650,Fishbase,,Fishbase,17000,50,fusiform / normal,non-migratory
,76,TL,cm,3830,Fishbase,,Fishbase,12946,18,fusiform / normal,NA
,38,TL,cm,NA,Fishbase,pelagic development,Fishbase,337309,NA,short and / or deep,amphidromous
,95,TL,cm,24720,Fishbase,,Fishbase,6000000,13,fusiform / normal,NA
,45,TL,cm,1300,Fishbase,,Fishbase,NA,NA,fusiform / normal,oceanodromous
,36,TL,cm,NA,Fishbase,,Fishbase,NA,NA,fusiform / normal,catadromous
,44,TL,cm,NA,Fishbase,,Fishbase,NA,NA,short and / or deep,NA
,52,TL,cm,510,Fishbase,,Fishbase,NA,10,elongated,NA
